DEPT MANAGEMENT	148	0.0802
SCH MANAGEMENT	121	0.0655
COLL BUSINESS	102	0.0553
SCH BUSINESS	95	0.0515
MICHIGAN STATE UNIV	91	0.0493
UNIV MINNESOTA	81	0.0439
COLL BUSINESS ADM	80	0.0433
UNIV N CAROLINA	67	0.0363
GEORGIA INST TECHNOL	61	0.0330
COLL MANAGEMENT	57	0.0309
GRAD SCH BUSINESS	57	0.0309
ARIZONA STATE UNIV	56	0.0303
CARLSON SCH MANAGEMENT	51	0.0276
KENAN FLAGLER BUSINESS SCH	51	0.0276
INDIANA UNIV	51	0.0276
OHIO STATE UNIV	50	0.0271
ELI BROAD GRAD SCH MANAGEMENT	48	0.0260
DEPT MANAGEMENT SCI	47	0.0255
COLUMBIA UNIV	46	0.0249
KELLEY SCH BUSINESS	45	0.0244
FISHER COLL BUSINESS	45	0.0244
UNIV MICHIGAN	44	0.0238
DEPT SUPPLY CHAIN MANAGEMENT	44	0.0238
DEPT MKT & SUPPLY CHAIN MANAGEMENT	44	0.0238
INSEAD	42	0.0228
UNIV CALIF LOS ANGELES	41	0.0222
UNIV PENN	40	0.0217
UNIV MARYLAND	40	0.0217
UNIV TEXAS DALLAS	39	0.0211
WHARTON SCH	39	0.0211
STANFORD UNIV	39	0.0211
WP CAREY SCH BUSINESS	38	0.0206
PENN STATE UNIV	37	0.0200
KOWLOON	35	0.0190
EMORY UNIV	34	0.0184
CORNELL UNIV	32	0.0173
UNIV TEXAS	32	0.0173
CLEMSON UNIV	31	0.0168
GOIZUETA BUSINESS SCH	29	0.0157
NORTHWESTERN UNIV	29	0.0157
DEPT IND ENGN & OPERAT RES	28	0.0152
MIT	28	0.0152
ROBERT H SMITH SCH BUSINESS	28	0.0152
LONDON	28	0.0152
UNIV WESTERN ONTARIO	28	0.0152
TEXAS A&M UNIV	28	0.0152
SCH BUSINESS ADM	28	0.0152
HARVARD UNIV	28	0.0152
UNIV CALIF BERKELEY	27	0.0146
CHINESE UNIV HONG KONG	27	0.0146
UNIV S CAROLINA	27	0.0146
UNIV NOTRE DAME	26	0.0141
HONG KONG POLYTECH UNIV	26	0.0141
WASHINGTON UNIV	26	0.0141
MCCOMBS SCH BUSINESS	26	0.0141
MONTREAL	25	0.0135
NYU	25	0.0135
SHATIN	25	0.0135
RICHARD IVEY SCH BUSINESS	25	0.0135
DEPT IND ENGN	24	0.0130
SMEAL COLL BUSINESS	23	0.0125
CARNEGIE MELLON UNIV	23	0.0125
UNIV TEXAS AUSTIN	22	0.0119
LONDON BUSINESS SCH	22	0.0119
MOORE SCH BUSINESS	21	0.0114
OPERAT & MANAGEMENT SCI DEPT	21	0.0114
ANDERSON SCH MANAGEMENT	20	0.0108
DEPT MKT	20	0.0108
MCGILL UNIV	20	0.0108
UNIV UTAH	20	0.0108
UNIV SO CALIF	20	0.0108
PURDUE UNIV	20	0.0108
DAVID ECCLES SCH BUSINESS	20	0.0108
DEPT BUSINESS ADM	19	0.0103
N CAROLINA STATE UNIV	19	0.0103
FAC BUSINESS	19	0.0103
TEPPER SCH BUSINESS	19	0.0103
HONG KONG	19	0.0103
UNIV WISCONSIN	18	0.0098
MAYS BUSINESS SCH	18	0.0098
DEPT DECIS SCI	18	0.0098
FAC BUSINESS ADM	18	0.0098
TORONTO	18	0.0098
UNIV ARKANSAS	18	0.0098
MARSHALL SCH BUSINESS	18	0.0098
RENSSELAER POLYTECH INST	17	0.0092
STERN SCH BUSINESS	17	0.0092
DUKE UNIV	17	0.0092
KELLOGG SCH MANAGEMENT	17	0.0092
UNIV ROCHESTER	17	0.0092
SO METHODIST UNIV	16	0.0087
VANDERBILT UNIV	16	0.0087
MENDOZA COLL BUSINESS	16	0.0087
WAKE FOREST UNIV	16	0.0087
ELI BROAD COLL BUSINESS	16	0.0087
COLL BUSINESS & BEHAV SCI	16	0.0087
UNIV CINCINNATI	16	0.0087
COLL BUSINESS & ECON	15	0.0081
DESAUTELS FAC MANAGEMENT	15	0.0081
UNIV MIAMI	15	0.0081
UNIV FLORIDA	15	0.0081
DEPAUL UNIV	15	0.0081
DEPT IND & SYST ENGN	15	0.0081
TEXAS CHRISTIAN UNIV	15	0.0081
KRANNERT SCH MANAGEMENT	15	0.0081
FUQUA SCH BUSINESS	15	0.0081
HONG KONG UNIV SCI & TECHNOL	15	0.0081
OWEN GRAD SCH MANAGEMENT	15	0.0081
NATL UNIV SINGAPORE	15	0.0081
ERASMUS UNIV	14	0.0076
UNIV ILLINOIS	14	0.0076
BOSTON COLL	14	0.0076
BOSTON UNIV	14	0.0076
UNIV VIRGINIA	14	0.0076
SCH BUSINESS & ECON	14	0.0076
GEORGE MASON UNIV	13	0.0070
VANCOUVER	13	0.0070
ALFRED P SLOAN SCH MANAGEMENT	13	0.0070
UNIV BRITISH COLUMBIA	13	0.0070
GEORGETOWN UNIV	13	0.0070
UNIV TOLEDO	13	0.0070
BABCOCK GRAD SCH MANAGEMENT	13	0.0070
JOHN M OLIN SCH BUSINESS	13	0.0070
DEPT INFORMAT & OPERAT MANAGEMENT	13	0.0070
CURTIS L CARLSON SCH MANAGEMENT	13	0.0070
GRAD SCH MANAGEMENT	13	0.0070
MCDONOUGH SCH BUSINESS	13	0.0070
DEPT MANAGEMENT & MKT	13	0.0070
RUTGERS STATE UNIV	12	0.0065
CITY UNIV HONG KONG	12	0.0065
SAM M WALTON COLL BUSINESS	12	0.0065
EINDHOVEN UNIV TECHNOL	12	0.0065
DEPT DECIS SCI & MANAGERIAL ECON	12	0.0065
DEPT MECH ENGN	12	0.0065
UNIV COLORADO	12	0.0065
UNIV TORONTO	12	0.0065
SAUDER SCH BUSINESS	11	0.0060
STEPHEN M ROSS SCH BUSINESS	11	0.0060
HAAS SCH BUSINESS	11	0.0060
AUBURN UNIV	11	0.0060
YORK UNIV	11	0.0060
ROSS SCH BUSINESS	11	0.0060
DEPT SUPPLY CHAIN & INFORMAT SYST	11	0.0060
EDWIN L COX SCH BUSINESS	11	0.0060
MIAMI UNIV	10	0.0054
DEPT MANAGEMENT SCI & ENGN	10	0.0054
IOWA STATE UNIV	10	0.0054
WALLACE E CARROLL SCH MANAGEMENT	10	0.0054
DEPT INFORMAT SYST & OPERAT MANAGEMENT	10	0.0054
GEORGIA STATE UNIV	10	0.0054
SCH HOTEL ADM	10	0.0054
LALLY SCH MANAGEMENT & TECHNOL	10	0.0054
SCHULICH SCH BUSINESS	10	0.0054
SINGAPORE MANAGEMENT UNIV	10	0.0054
WATERLOO	10	0.0054
DEPT SYST ENGN & ENGN MANAGEMENT	10	0.0054
OLIN BUSINESS SCH	10	0.0054
DEPT OPERAT & MANAGEMENT SCI	10	0.0054
BALL STATE UNIV	10	0.0054
UNIV MELBOURNE	10	0.0054
NUS BUSINESS SCH	10	0.0054
UNIV MASSACHUSETTS	9	0.0049
LEONARD N STERN SCH BUSINESS	9	0.0049
ROTTERDAM SCH MANAGEMENT	9	0.0049
DARTMOUTH COLL	9	0.0049
RUTGERS BUSINESS SCH	9	0.0049
LEE KONG CHIAN SCH BUSINESS	9	0.0049
XI AN JIAO TONG UNIV	9	0.0049
OREGON STATE UNIV	9	0.0049
UNIV CAMBRIDGE	9	0.0049
DEPT LOGIST	9	0.0049
UNIV TENNESSEE	9	0.0049
UNIV CONNECTICUT	9	0.0049
COLL BUSINESS & PUBL ADM	9	0.0049
CASE WESTERN RESERVE UNIV	9	0.0049
UNIV PITTSBURGH	9	0.0049
DARDEN SCH BUSINESS	9	0.0049
COLORADO STATE UNIV	9	0.0049
UNIV WASHINGTON	9	0.0049
WEATHERHEAD SCH MANAGEMENT	8	0.0043
DEPT SUPPLY CHAIN MANAGEMENT & MKT SCI	8	0.0043
USN	8	0.0043
ELI BROAD SCH BUSINESS	8	0.0043
POSTGRAD SCH	8	0.0043
DEPT IND ENGN & MANAGEMENT SCI	8	0.0043
DEPT STAT & OPERAT RES	8	0.0043
AB FREEMAN SCH BUSINESS	8	0.0043
IESE BUSINESS SCH	8	0.0043
SCH IND ENGN	8	0.0043
ANDERSON SCH	8	0.0043
CLARKSON UNIV	8	0.0043
UNIV CHICAGO	8	0.0043
UNIV NEVADA	8	0.0043
DEPT IND & OPERAT ENGN	8	0.0043
DEPT ECON	8	0.0043
KOREA UNIV	8	0.0043
SIMON SCH BUSINESS	8	0.0043
UNIV NAVARRA	8	0.0043
UNIV ALABAMA	8	0.0043
TULANE UNIV	8	0.0043
DEPT BUSINESS MANAGEMENT	8	0.0043
COLL WILLIAM & MARY	8	0.0043
UNIV OREGON	7	0.0038
HELSINKI UNIV TECHNOL	7	0.0038
UNIV BALTIMORE	7	0.0038
DUPREE COLL MANAGEMENT	7	0.0038
UNIV MISSOURI	7	0.0038
DEPT MATH	7	0.0038
KANSAS STATE UNIV	7	0.0038
KOC UNIV	7	0.0038
DEPT INFORMAT & DECIS SCI	7	0.0038
MASON SCH BUSINESS	7	0.0038
COLL ADM SCI & ECON	7	0.0038
GRAD SCH BUSINESS & PUBL POLICY	7	0.0038
JOHNSON GRAD SCH MANAGEMENT	7	0.0038
UNIV CALIF SAN DIEGO	7	0.0038
TSINGHUA UNIV	7	0.0038
WILFRID LAURIER UNIV	7	0.0038
ST JOSEPHS UNIV	7	0.0038
ROTMAN SCH MANAGEMENT	7	0.0038
SLOAN SCH MANAGEMENT	7	0.0038
NO ILLINOIS UNIV	7	0.0038
ZICKLIN SCH BUSINESS	7	0.0038
OLD DOMINION UNIV	7	0.0038
LEHIGH UNIV	7	0.0038
NEELEY SCH BUSINESS	7	0.0038
ANTAI COLL ECON & MANAGEMENT	7	0.0038
NANYANG TECHNOL UNIV	7	0.0038
INDIAN SCH BUSINESS	6	0.0033
DEPT MARKETING & SUPPLY CHAIN MANAGEMENT	6	0.0033
BRIGHAM YOUNG UNIV	6	0.0033
ZARAGOZA LOGIST CTR	6	0.0033
UNIV VICTORIA	6	0.0033
HASKAYNE SCH BUSINESS	6	0.0033
UNIV RICHMOND	6	0.0033
INDIAN INST MANAGEMENT	6	0.0033
MILLER COLL BUSINESS	6	0.0033
WARWICK BUSINESS SCH	6	0.0033
FLORIDA ATLANTIC UNIV	6	0.0033
UNIV WARWICK	6	0.0033
FLORIDA STATE UNIV	6	0.0033
DUQUESNE UNIV	6	0.0033
GEORGIA SO UNIV	6	0.0033
KATHOLIEKE UNIV LEUVEN	6	0.0033
VICTORIA	6	0.0033
MERRICK SCH BUSINESS	6	0.0033
BABSON COLL	6	0.0033
UNIV GRONINGEN	6	0.0033
ANDERSON GRAD SCH MANAGEMENT	6	0.0033
TILBURG UNIV	6	0.0033
COVENTRY CV4 7AL	6	0.0033
DEPT CIVIL & ENVIRONM ENGN	6	0.0033
J MACK ROBINSON COLL BUSINESS	6	0.0033
DEPT IND ENGN & LOGIST MANAGEMENT	6	0.0033
CALGARY	6	0.0033
DEPT IND ENGN & MANAGEMENT	6	0.0033
JUDGE BUSINESS SCH	6	0.0033
TECH UNIV EINDHOVEN	6	0.0033
MELBOURNE	6	0.0033
TUCK SCH BUSINESS	6	0.0033
SCH ECON & MANAGEMENT	6	0.0033
UNIV CALGARY	6	0.0033
SHANGHAI JIAO TONG UNIV	6	0.0033
SYDNEY	6	0.0033
DEPT QUANTITAT ANAL & OPERAT MANAGEMENT	6	0.0033
JOSEPH L ROTMAN SCH MANAGEMENT	5	0.0027
ROCHESTER INST TECHNOL	5	0.0027
UNIV SAN DIEGO	5	0.0027
SAN FRANCISCO STATE UNIV	5	0.0027
GUANGZHOU 510275	5	0.0027
IEOR DEPT	5	0.0027
UNIV ST THOMAS	5	0.0027
DALHOUSIE UNIV	5	0.0027
UNIV BATH	5	0.0027
UNIV GEORGIA	5	0.0027
DEPT OPERAT	5	0.0027
DEPT INFORMAT SYST	5	0.0027
KATZ GRAD SCH BUSINESS	5	0.0027
RADY SCH MANAGEMENT	5	0.0027
DEPT OPERAT & TECHNOL MANAGEMENT	5	0.0027
WHITMAN SCH MANAGEMENT	5	0.0027
HALIFAX	5	0.0027
COLL ENGN	5	0.0027
SUN YAT SEN UNIV	5	0.0027
NANYANG BUSINESS SCH	5	0.0027
DEPT OPERAT MANAGEMENT & INFORMAT SYST	5	0.0027
UNIV ARIZONA	5	0.0027
EDMONTON	5	0.0027
CASS BUSINESS SCH	5	0.0027
UNIV ALBERTA	5	0.0027
BOWLING GREEN STATE UNIV	5	0.0027
FLORIDA INT UNIV	5	0.0027
HYDERABAD 500032	5	0.0027
OPERAT & STRATEG MANAGEMENT DEPT	5	0.0027
COLL BUSINESS & ADM	5	0.0027
DEPT LOGIST & MARITIME STUDIES	5	0.0027
TERRY COLL BUSINESS	5	0.0027
BANGALORE 560076	5	0.0027
BELK COLL BUSINESS	5	0.0027
SYRACUSE UNIV	5	0.0027
ERIVAN K HAUB SCH BUSINESS	5	0.0027
ROBINS SCH BUSINESS	5	0.0027
LUNDQUIST COLL BUSINESS	5	0.0027
UNIV CALIF DAVIS	5	0.0027
DEPT MANAGEMENT MKT & INT BUSINESS	5	0.0027
UNIV CALIF RIVERSIDE	5	0.0027
UNIV OKLAHOMA	5	0.0027
OTTAWA	5	0.0027
N YORK	5	0.0027
SCH BUSINESS & MANAGEMENT	5	0.0027
FAC ECON & BUSINESS	5	0.0027
UNIV LANCASTER	5	0.0027
TEL AVIV UNIV	5	0.0027
WARRINGTON COLL BUSINESS ADM	5	0.0027
DEPT INFORMAT SYST & SUPPLY CHAIN MANAGEMENT	5	0.0027
BATH BA2 7AY	5	0.0027
KRANNERT GRAD SCH MANAGEMENT	5	0.0027
SAMUEL CURTIS JOHNSON GRAD SCH MANAGEMENT	5	0.0027
DEPT MKT & LOGIST	5	0.0027
RH SMITH SCH BUSINESS	5	0.0027
DEPT MECH & IND ENGN	5	0.0027
DEPT OPERAT & DECIS TECHNOL	5	0.0027
VRIJE UNIV AMSTERDAM	5	0.0027
CUNY BERNARD M BARUCH COLL	5	0.0027
HAMILTON	4	0.0022
BOISE STATE UNIV	4	0.0022
UNIV HONG KONG	4	0.0022
UCL	4	0.0022
PARKVILLE	4	0.0022
MCMASTER UNIV	4	0.0022
DEPT OPERAT & STRATEG MANAGEMENT	4	0.0022
CITY UNIV LONDON	4	0.0022
DEPT INFORMAT OPERAT & MANAGEMENT SCI	4	0.0022
DEPT MANAGEMENT SCI & INNOVAT	4	0.0022
LINGNAN UNIV	4	0.0022
SUNY BUFFALO	4	0.0022
DEPT INFORMAT RISK & OPERAT MANAGEMENT	4	0.0022
FAC MANAGEMENT	4	0.0022
UNIV CALIF IRVINE	4	0.0022
HAROLD & INGE MARCUS DEPT IND & MFG ENGN	4	0.0022
UNIV KANSAS	4	0.0022
KINGSTON	4	0.0022
AMER GRAD SCH INT MANAGEMENT	4	0.0022
MARQUETTE UNIV	4	0.0022
TUEN MUN	4	0.0022
UNIV MANCHESTER	4	0.0022
DEPT TECHNOL MANAGEMENT	4	0.0022
LEEDS SCH BUSINESS	4	0.0022
INFORMAT SYST & OPERAT MANAGEMENT DEPT	4	0.0022
COLL BUSINESS & MANAGEMENT	4	0.0022
SIMON FRASER UNIV	4	0.0022
DEPT IND & MFG SYST ENGN	4	0.0022
CHAPMAN UNIV	4	0.0022
SO ILLINOIS UNIV	4	0.0022
MJ NEELEY SCH BUSINESS	4	0.0022
HUAZHONG UNIV SCI & TECHNOL	4	0.0022
ARGYROS SCH BUSINESS & ECON	4	0.0022
FUDAN UNIV	4	0.0022
COLUMBIA BUSINESS SCH	4	0.0022
DEPT MANAGEMENT & INFORMAT SYST	4	0.0022
SCH ENGN	4	0.0022
UNIV IOWA	4	0.0022
CRANFIELD SCH MANAGEMENT	4	0.0022
ST JOHN	4	0.0022
BURNABY	4	0.0022
SCH IND & SYST ENGN	4	0.0022
NORTHEASTERN UNIV	4	0.0022
PRAIRIE VIEW A&M UNIV	4	0.0022
XIAN 710049	4	0.0022
KELLSTADT GRAD SCH BUSINESS	4	0.0022
ROBINSON COLL BUSINESS	4	0.0022
UNIV COLOGNE	4	0.0022
RICHARD T FARMER SCH BUSINESS	4	0.0022
PAUL MERAGE SCH BUSINESS	4	0.0022
SANTA CLARA UNIV	4	0.0022
WILLIAM E SIMON GRAD SCH BUSINESS ADM	4	0.0022
CLARK UNIV	4	0.0022
NE ILLINOIS UNIV	4	0.0022
H MILTON STEWART SCH IND & SYST ENGN	4	0.0022
SUNY BINGHAMTON	4	0.0022
KELLSTADT GRAD SCH COMMERCE	4	0.0022
INT CTR DECIS & RISK ANAL	4	0.0022
OKLAHOMA STATE UNIV	4	0.0022
DEPT OPERAT & INFORMAT MANAGEMENT	4	0.0022
CTR OPERAT RES	4	0.0022
BROAD COLL BUSINESS	4	0.0022
CALIF STATE UNIV FRESNO	3	0.0016
UNIV N FLORIDA	3	0.0016
DONALDSON CHAIR OPERAT MANAGEMENT	3	0.0016
IBM CORP	3	0.0016
WALTON COLL BUSINESS	3	0.0016
NAVEEN JINDAL SCH MANAGEMENT	3	0.0016
INCAE BUSINESS SCH	3	0.0016
COLL BUSINESS & TECHNOL	3	0.0016
OPERAT MANAGEMENT AREA	3	0.0016
DEPT COMP SCI	3	0.0016
INDIAN INST TECHNOL	3	0.0016
CALIF STATE UNIV FULLERTON	3	0.0016
BARUCH COLL	3	0.0016
ROLLINS COLL	3	0.0016
CTR INTELLIGENT SUPPLY NETWORKS	3	0.0016
LEAVEY SCH BUSINESS	3	0.0016
