MANAGE SCI	6489	3.8694
J OPER MANAG	4036	2.4067
PROD OPER MANAG	2583	1.5403
OPER RES	1995	1.1896
STRATEGIC MANAGE J	1713	1.0215
HARVARD BUS REV	1596	0.9517
ACAD MANAGE REV	1345	0.8020
DECISION SCI	1286	0.7668
ACAD MANAGE J	1268	0.7561
J MARKETING	1228	0.7323
EUR J OPER RES	1138	0.6786
J MARKETING RES	1058	0.6309
INT J OPER PROD MAN	888	0.5295
ORGAN SCI	822	0.4902
ADMIN SCI QUART	803	0.4788
J OPERATIONS MANAGEM	775	0.4621
MARKET SCI	678	0.4043
INT J PROD RES	591	0.3524
Manufacturing & Service Operations Management	576	0.3435
IIE TRANS	563	0.3357
M&SOM-MANUF SERV OP	538	0.3208
INT J PROD ECON	536	0.3196
SLOAN MANAGE REV	519	0.3095
J APPL PSYCHOL	515	0.3071
J MANAGE	512	0.3053
PRODUCTION OPERATION	507	0.3023
Journal of Operations Management	485	0.2892
MIS QUART	482	0.2874
CALIF MANAGE REV	450	0.2683
J PROD INNOVAT MANAG	435	0.2594
INTERFACES	423	0.2522
AM ECON REV	360	0.2147
IEEE T ENG MANAGE	335	0.1998
INFORM SYST RES	327	0.1950
NAV RES LOG	325	0.1938
ECONOMETRICA	324	0.1932
PSYCHOL BULL	320	0.1908
J BUSINESS LOGISTICS	312	0.1860
J OPER RES SOC	291	0.1735
Production and Operations Management	290	0.1729
OMEGA-INT J MANAGE S	272	0.1622
INT J PURCHASING MAT	260	0.1550
J INT BUS STUD	245	0.1461
J RETAILING	228	0.1360
J ACAD MARKET SCI	225	0.1342
J BUS RES	220	0.1312
RAND J ECON	219	0.1306
J SUPPLY CHAIN MANAG	213	0.1270
IND MARKET MANAG	205	0.1222
SUPPLY CHAIN MANAG	203	0.1210
PRODUCTION INVENTORY	196	0.1169
J MANAGE STUD	186	0.1109
RES POLICY	184	0.1097
J SERV RES-US	179	0.1067
Q J ECON	175	0.1044
INT J SERV IND MANAG	166	0.0990
PSYCHOMETRIC THEORY	161	0.0960
INT J PHYS DISTRIB	160	0.0954
International Journal of Operations & Production Management	159	0.0948
J POLIT ECON	152	0.0906
MULTIVARIATE DATA AN	148	0.0883
MANUFACTURING SERVIC	147	0.0877
J CONSUM RES	144	0.0859
Production and Inventory Management Journal	140	0.0835
AM SOCIOL REV	139	0.0829
ORGAN BEHAV HUM DEC	138	0.0823
MIT SLOAN MANAGE REV	136	0.0811
J PERS SOC PSYCHOL	135	0.0805
WORKING PAPER	134	0.0799
INT J QUALITY RELIAB	131	0.0781
J ECON THEORY	129	0.0769
J MANAGE INFORM SYST	127	0.0757
J FINANC	123	0.0733
AM J SOCIOL	122	0.0727
OPERATIONS MANAGEMEN	120	0.0716
TRANSPORT SCI	120	0.0716
J BUS VENTURING	116	0.0692
INT J LOGIST MANAG	111	0.0662
MANUFACTURING STRATE	109	0.0650
COMMUN ACM	107	0.0638
BUS HORIZONS	107	0.0638
REV ECON STUD	106	0.0632
ANN OPER RES	100	0.0596
PSYCHOMETRIKA	100	0.0596
MATH OPER RES	98	0.0584
ORGAN RES METHODS	97	0.0578
COMPUT OPER RES	97	0.0578
J FINANC ECON	96	0.0572
QUANTITATIVE MODELS	95	0.0566
HDB OPERATIONS RES M	95	0.0566
J IND ECON	93	0.0555
STRUCT EQU MODELING	92	0.0549
STRATEGIC MANAGEMENT	91	0.0543
OPER RES LETT	91	0.0543
STRUCTURAL EQUATION	88	0.0525
