CommunityID	Keywords	TF	DF	TF-IDF	Sigma	TextRank
0	PRODUCT DEVELOPMENT	0.0239	0.0246	0.0884	-0.1435	0.0046
0	PLATFORM STRATEGY	0.0010	0.0009	0.0073	0.1852	0.0004
0	BEHAVIORAL THEORY	0.0052	0.0015	0.0337	2.9418	0.0011
0	INDUSTRIALIZATION	0.0031	0.0028	0.0183	0.1819	0.0011
0	UNCERTAINTY	0.0031	0.0088	0.0147	-1.8995	0.0012
0	ORGANIZATIONAL CONTEXT	0.0010	0.0017	0.0066	-0.5142	0.0005
0	SUPPLY CHAIN MANAGEMENT	0.0944	0.1242	0.1969	-2.8026	0.0152
0	PATH DEPENDENCIES	0.0083	0.0017	0.0528	4.9196	0.0010
0	PRODUCT VARIETY	0.0052	0.0030	0.0301	1.2276	0.0017
0	LEAN MANUFACTURING PRACTICES	0.0031	0.0024	0.0188	0.4729	0.0008
0	DEMAND	0.0010	0.0004	0.0080	0.9067	0.0004
0	ALIGNMENT OF PRIORITIES	0.0041	0.0011	0.0284	2.9064	0.0008
0	JOB DESIGN	0.0052	0.0024	0.0314	1.7973	0.0011
0	STRATEGIC HUMAN RESOURCE MANAGEMENT	0.0010	0.0004	0.0080	0.9067	0.0006
0	CUSTOMER	0.0010	0.0006	0.0076	0.4771	0.0007
0	TECHNOLOGICAL INNOVATION	0.0010	0.0002	0.0088	1.7380	0.0006
0	SYSTEM DYNAMICS	0.0031	0.0026	0.0185	0.3211	0.0007
0	POWER	0.0031	0.0034	0.0176	-0.1785	0.0007
0	BUYER-SUPPLIER COORDINATION	0.0010	0.0026	0.0062	-0.9471	0.0004
0	KNOWLEDGE MANAGEMENT	0.0041	0.0067	0.0208	-0.9653	0.0012
0	ENVIRONMENTAL AND OPERATIONS MANAGEMENT	0.0021	0.0015	0.0135	0.4525	0.0011
0	BUSINESS STRATEGY	0.0021	0.0015	0.0135	0.4525	0.0004
0	OFFSHORE MANUFACTURING	0.0010	0.0015	0.0067	-0.3772	0.0004
0	SUPPLY MANAGEMENT	0.0156	0.0261	0.0567	-2.0499	0.0029
0	METRICS	0.0104	0.0060	0.0530	1.7388	0.0016
0	SUPPLY RISK	0.0010	0.0037	0.0058	-1.3500	0.0004
0	TWO-STAGE OPTIMIZATION	0.0031	0.0006	0.0229	3.0110	0.0007
0	E-PROCUREMENT	0.0010	0.0037	0.0058	-1.3500	0.0006
0	IT SERVICE MANAGEMENT AND DESIGN	0.0010	0.0015	0.0067	-0.3772	0.0011
0	TECHNOLOGY TRANSFER	0.0010	0.0002	0.0088	1.7380	0.0006
0	VALUE OF INFORMATION TECHNOLOGY	0.0010	0.0004	0.0080	0.9067	0.0005
0	MIS-OPERATIONS INTERFACE	0.0041	0.0017	0.0264	1.8145	0.0009
0	CITATION EXCHANGE AMONG DISCIPLINES	0.0010	0.0006	0.0076	0.4771	0.0006
0	LABOR PRODUCTIVITY	0.0031	0.0026	0.0185	0.3211	0.0010
0	FIT	0.0062	0.0050	0.0330	0.5597	0.0013
0	MANUFACTURING PRACTICES	0.0093	0.0030	0.0542	3.5763	0.0012
0	PROCESS CONTROL	0.0031	0.0024	0.0188	0.4729	0.0006
0	SECONDARY DATA	0.0114	0.0052	0.0601	2.6994	0.0023
0	RESEARCHER SURVEY	0.0010	0.0015	0.0067	-0.3772	0.0005
0	OPERATIONS MANAGEMENT	0.0353	0.0315	0.1220	0.6753	0.0057
0	QUALITY MANAGEMENT SYSTEMS	0.0010	0.0006	0.0076	0.4771	0.0004
0	THEORY DEVELOPMENT	0.0259	0.0134	0.1119	3.3983	0.0036
0	COMPETITIVE ADVANTAGE	0.0021	0.0067	0.0104	-1.7560	0.0009
0	OPERATIONS CONTROL	0.0021	0.0004	0.0161	2.4582	0.0009
0	SUPPLY INTEGRATION	0.0010	0.0022	0.0064	-0.7486	0.0004
0	SOURCING	0.0010	0.0017	0.0066	-0.5142	0.0004
0	LOGISTICS/DISTRIBUTION	0.0041	0.0073	0.0204	-1.1575	0.0009
0	OPERATIONS SAFETY	0.0010	0.0017	0.0066	-0.5142	0.0005
