CommunityID	Keywords	TF	DF	TF-IDF	Sigma	TextRank
0	ENVIRONMENTAL SUSTAINABILITY	0.0448	0.0227	0.1694	1.2110	0.0084
0	ENTRY-DETERRENT STRATEGIES	0.0149	0.0303	0.0522	-0.7343	0.0041
0	REUSE ECONOMICS	0.0597	0.0455	0.1845	0.5599	0.0103
0	VISIBILITY	0.0149	0.0076	0.0729	0.6938	0.0055
0	SIMULATION-BASED OPTIMIZATION	0.0149	0.0227	0.0565	-0.4285	0.0041
0	SUPPLY CHAIN MANAGEMENT	0.0299	0.0530	0.0877	-0.8467	0.0065
0	EFFICIENCY	0.0149	0.0076	0.0729	0.6938	0.0089
0	PRODUCT TAKE-BACK	0.0149	0.0076	0.0729	0.6938	0.0055
0	PRODUCT LINE	0.0149	0.0076	0.0729	0.6938	0.0059
0	SUPPLY CHAIN CONTRACTS	0.0149	0.0152	0.0625	-0.0152	0.0042
0	COST ALLOCATION	0.0299	0.0152	0.1251	0.9850	0.0061
0	REVERSE LOGISTICS	0.1940	0.1818	0.3308	0.2592	0.0350
0	QUALITY MANAGEMENT	0.0299	0.0303	0.1044	-0.0216	0.0065
0	COMPETITIVE STRATEGY	0.0149	0.0152	0.0625	-0.0152	0.0041
0	BY-PRODUCT SYNERGY	0.0597	0.0303	0.2087	1.4038	0.0098
0	OM-MARKETING INTERFACE	0.0746	0.0379	0.2443	1.5756	0.0137
0	DEMAND CANNIBALIZATION	0.0448	0.0227	0.1694	1.2110	0.0084
0	UPGRADING	0.0448	0.0227	0.1694	1.2110	0.0086
0	OPERATIONS MANAGEMENT	0.0597	0.0455	0.1845	0.5599	0.0098
0	MATERIAL VERSATILITY	0.0149	0.0076	0.0729	0.6938	0.0063
0	BEHAVIORAL OPERATIONS	0.0448	0.0227	0.1694	1.2110	0.0084
0	SUSTAINABILITY	0.1194	0.0985	0.2768	0.5746	0.0208
0	COMPETITIVE ADVANTAGE	0.0448	0.0455	0.1384	-0.0267	0.0081
0	DELAYED DIFFERENTIATION	0.0299	0.0303	0.1044	-0.0216	0.0068
0	MINIMILLS	0.0149	0.0076	0.0729	0.6938	0.0063
0	ENVIRONMENT	0.1045	0.0682	0.2806	1.1787	0.0167
0	REMANUFACTURING	0.5075	0.4924	0.3595	0.2462	0.0915
0	SUSTAINABLE OPERATIONS	0.0896	0.0682	0.2405	0.6940	0.0153
0	PRODUCT DESIGN	0.0597	0.0303	0.2087	1.4038	0.0118
0	PRICING	0.0896	0.0985	0.2076	-0.2454	0.0226
0	MODULAR DESIGN	0.0299	0.0303	0.1044	-0.0216	0.0068
0	CLOSED-LOOP SUPPLY CHAIN	0.0448	0.0303	0.1566	0.6911	0.0087
0	WASTE ELECTRICAL AND ELECTRONIC EQUIPMENT	0.0149	0.0076	0.0729	0.6938	0.0055
0	REUSABILITY	0.0448	0.0227	0.1694	1.2110	0.0086
0	RFID	0.0149	0.0076	0.0729	0.6938	0.0055
0	EMPIRICAL RESEARCH	0.0299	0.0227	0.1130	0.3912	0.0064
0	PERISHABLE INVENTORY	0.0149	0.0076	0.0729	0.6938	0.0059
0	CHANNEL CHOICE	0.0149	0.0152	0.0625	-0.0152	0.0037
0	ELECTRONICS	0.0149	0.0076	0.0729	0.6938	0.0055
0	OM RESEARCH	0.0149	0.0152	0.0625	-0.0152	0.0089
0	QUEUEING NETWORKS	0.0299	0.0152	0.1251	0.9850	0.0066
0	REGULATION	0.0448	0.0227	0.1694	1.2110	0.0080
0	LOT SIZING	0.0149	0.0076	0.0729	0.6938	0.0049
0	DATA ENVELOPMENT ANALYSIS	0.0149	0.0076	0.0729	0.6938	0.0089
0	LOCALIZATION	0.0149	0.0076	0.0729	0.6938	0.0063
0	PRODUCT RETURNS	0.0746	0.0530	0.2192	0.7888	0.0148
0	RANDOM YIELD	0.0149	0.0303	0.0522	-0.7343	0.0044
0	RESTOCKING FEES	0.0448	0.0227	0.1694	1.2110	0.0085
0	CONSUMER RETURNS	0.0299	0.0227	0.1130	0.3912	0.0084
0	CONTRACTS	0.0149	0.0076	0.0729	0.6938	0.0043
0	SELLER REPUTATION	0.0299	0.0152	0.1251	0.9850	0.0064
0	USED PRODUCT SORTING	0.0448	0.0530	0.1315	-0.3015	0.0083
0	QUALITY CHOICE	0.0299	0.0152	0.1251	0.9850	0.0069
0	QUALITY	0.0149	0.0152	0.0625	-0.0152	0.0059
0	OM-INFORMATION SYSTEMS INTERFACE	0.0299	0.0152	0.1251	0.9850	0.0064
0	REVERSE CHANNELS	0.0149	0.0076	0.0729	0.6938	0.0055
0	OPTIMAL MARKET AREA	0.0149	0.0076	0.0729	0.6938	0.0063
0	PRODUCT RECOVERY	0.0149	0.0227	0.0565	-0.4285	0.0068
