CommunityID	Keywords	TF	DF	TF-IDF	Sigma	TextRank
0	PATIENT FLOW	0.1429	0.1026	0.3253	0.4969	0.0367
0	URGENT PATIENTS	0.0714	0.0513	0.2122	0.3418	0.0285
0	OUTPATIENT	0.1429	0.1026	0.3253	0.4969	0.0367
0	HEALTH CARE	0.1429	0.2051	0.2263	-0.5770	0.0553
0	SIMULATION OPTIMIZATION	0.0714	0.0769	0.1832	-0.0772	0.0263
0	FINANCIAL SERVICES	0.0714	0.0256	0.2617	1.0839	0.0338
0	PROBABILITY: STOCHASTIC MODEL APPLICATIONS	0.0714	0.0769	0.1832	-0.0772	0.0269
0	OVERBOOKING	0.1429	0.1026	0.3253	0.4969	0.0408
0	SURGICAL SCHEDULING	0.1429	0.0513	0.4243	1.5534	0.0455
0	ADVANCED-ACCESS	0.0714	0.0513	0.2122	0.3418	0.0285
0	RESOURCE PLANNING	0.1429	0.0513	0.4243	1.5534	0.0455
0	APPOINTMENT SCHEDULING	0.6429	0.5897	0.3395	0.4040	0.1760
0	HEALTH CARE OPERATIONS	0.1429	0.1026	0.3253	0.4969	0.0408
0	SERVICE OPERATIONS MANAGEMENT	0.1429	0.1026	0.3253	0.4969	0.0408
0	OUTPATIENT SERVICES	0.0714	0.1026	0.1627	-0.3840	0.0263
0	SERVICE INDUSTRIES	0.0714	0.0256	0.2617	1.0839	0.0338
0	NONLINEAR REGRESSION	0.1429	0.1026	0.3253	0.4969	0.0374
0	CALL CENTERS	0.0714	0.0256	0.2617	1.0839	0.0338
0	SERVICE OPERATIONS	0.1429	0.3590	0.1464	-1.6857	0.0408
0	PRIMARY CARE	0.0714	0.0513	0.2122	0.3418	0.0285
0	SIMULATION	0.2857	0.3077	0.3368	-0.1782	0.0688
0	HEALTHCARE	0.2857	0.2051	0.4526	0.7467	0.0688
1	PATIENT FLOW	0.0800	0.1026	0.1822	-0.3719	0.0168
1	HEALTH CARE POLICY	0.0400	0.0256	0.1465	0.4542	0.0117
1	URGENT PATIENTS	0.0400	0.0513	0.1188	-0.2557	0.0129
1	COMPUTER SIMULATIONS	0.0400	0.0256	0.1465	0.4542	0.0227
1	HEALTHCARE OPERATIONS MANAGEMENT	0.0400	0.0256	0.1465	0.4542	0.0109
1	UNCERTAINTY	0.0400	0.0256	0.1465	0.4542	0.0227
1	OUTPATIENT	0.0800	0.1026	0.1822	-0.3719	0.0168
1	FACILITY LAYOUT	0.0400	0.0256	0.1465	0.4542	0.0227
1	HEALTH CARE	0.2400	0.2051	0.3802	0.4318	0.0477
1	SIMULATION OPTIMIZATION	0.0800	0.0769	0.2052	0.0577	0.0168
1	WORKFORCE SCHEDULE ADJUSTMENT	0.0400	0.0256	0.1465	0.4542	0.0118
1	PROBABILITY: STOCHASTIC MODEL APPLICATIONS	0.0800	0.0769	0.2052	0.0577	0.0167
1	LEAN PROCESS IMPROVEMENT	0.0400	0.0256	0.1465	0.4542	0.0117
1	SERVICES	0.0400	0.0256	0.1465	0.4542	0.0126
1	OUTPATIENT CLINICS	0.0800	0.0513	0.2376	0.6510	0.0168
1	STOCHASTIC METHODS	0.0800	0.0513	0.2376	0.6510	0.0186
1	DEMAND UNCERTAINTY	0.0400	0.0256	0.1465	0.4542	0.0126
1	NO-SHOWS	0.0400	0.0256	0.1465	0.4542	0.0117
1	OVERBOOKING	0.0800	0.1026	0.1822	-0.3719	0.0189
1	SCHEDULING PERFORMANCE	0.0400	0.0256	0.1465	0.4542	0.0227
1	VOLUME FLEXIBILITY	0.0400	0.0256	0.1465	0.4542	0.0126
1	ADVANCED-ACCESS	0.0400	0.0513	0.1188	-0.2557	0.0129
1	PLANNING, SCHEDULING AND CONTROL	0.0400	0.0256	0.1465	0.4542	0.0227
1	APPOINTMENT SCHEDULING	0.5600	0.5897	0.2957	-0.3023	0.1076
1	GOAL PROGRAMMING	0.0400	0.0256	0.1465	0.4542	0.0118
1	QUEUING SYSTEMS	0.0400	0.0256	0.1465	0.4542	0.0101
1	HEURISTICS	0.0400	0.0256	0.1465	0.4542	0.0118
1	EMPIRICAL RESEARCH METHODS	0.0400	0.0256	0.1465	0.4542	0.0227
1	HEALTH CARE OPERATIONS	0.0800	0.1026	0.1822	-0.3719	0.0173
1	PERFORMANCE MEASUREMENT	0.0400	0.0256	0.1465	0.4542	0.0227
1	OPERATIONS STRATEGY	0.0400	0.0256	0.1465	0.4542	0.0227
1	APPOINTMENT POLICIES	0.0400	0.0256	0.1465	0.4542	0.0121
1	SCHEDULING	0.0400	0.0256	0.1465	0.4542	0.0227
1	SERVICE OPERATIONS MANAGEMENT	0.0800	0.1026	0.1822	-0.3719	0.0173
1	TECHNOLOGY	0.0400	0.0256	0.1465	0.4542	0.0126
1	HEALTH-CARE MANAGEMENT	0.1200	0.0769	0.3078	0.8083	0.0250
1	OUTPATIENT SERVICES	0.1200	0.1026	0.2733	0.2874	0.0242
1	NONLINEAR REGRESSION	0.0800	0.1026	0.1822	-0.3719	0.0164
1	SERVICE OPERATIONS	0.4800	0.3590	0.4918	1.2615	0.0997
1	PRIMARY CARE	0.0400	0.0513	0.1188	-0.2557	0.0129
1	SIMULATION	0.3200	0.3077	0.3772	0.1333	0.0608
1	PRIVATE SERVER AND CENTRAL PLANNER	0.0400	0.0256	0.1465	0.4542	0.0121
1	HEALTHCARE	0.1600	0.2051	0.2535	-0.5588	0.0305
1	QUALITY OF PLANNING	0.0400	0.0256	0.1465	0.4542	0.0227
