CommunityID	Keywords	TF	DF	TF-IDF	Sigma	TextRank
0	BEHAVIOR IN PROCESSES	0.0196	0.0119	0.0869	0.5072	0.0057
0	MOTIVATION	0.0392	0.0476	0.1194	-0.2818	0.0072
0	ENVIRONMENTAL SUSTAINABILITY	0.0392	0.0238	0.1466	0.7217	0.0064
0	BEHAVIORAL OPERATIONS MANAGEMENT	0.1176	0.1071	0.2628	0.2425	0.0149
0	QUEUEING	0.0588	0.0357	0.1960	0.8893	0.0085
0	COGNITIVE BIASES	0.0392	0.0357	0.1307	0.1347	0.0082
0	SUPPLY CHAIN MANAGEMENT	0.0588	0.0833	0.1462	-0.6333	0.0114
0	PROJECT FLEXIBILITY	0.0196	0.0238	0.0733	-0.1968	0.0052
0	RECIPROCITY	0.0196	0.0119	0.0869	0.5072	0.0057
0	SUPPLY CHAIN CONTRACTS	0.0588	0.0357	0.1960	0.8893	0.0079
0	PLANT MANAGERS	0.0196	0.0357	0.0653	-0.6198	0.0070
0	COORDINATION	0.0196	0.0119	0.0869	0.5072	0.0059
0	SYSTEM DYNAMICS	0.0196	0.0238	0.0733	-0.1968	0.0043
0	SOURCING ENTERPRISE SYSTEM USE	0.0196	0.0119	0.0869	0.5072	0.0070
0	IMPLEMENTATION	0.0196	0.0119	0.0869	0.5072	0.0070
0	SOCIAL CHARACTERISTICS	0.0196	0.0119	0.0869	0.5072	0.0070
0	CAPABILITIES	0.0196	0.0119	0.0869	0.5072	0.0044
0	SOCIAL DILEMMA	0.0196	0.0119	0.0869	0.5072	0.0052
0	DEMAND CANNIBALIZATION	0.0392	0.0238	0.1466	0.7217	0.0064
0	FEEDBACK	0.0588	0.0595	0.1660	-0.0211	0.0106
0	GROUP PERFORMANCE	0.0196	0.0119	0.0869	0.5072	0.0052
0	GROUPTHINK	0.0392	0.0357	0.1307	0.1347	0.0072
0	OPERATIONS MANAGEMENT	0.0588	0.0476	0.1791	0.3757	0.0078
0	BEHAVIORAL OPERATIONS	0.3137	0.2381	0.4502	1.2681	0.0478
0	BOUNDED RATIONALITY	0.1373	0.0833	0.3411	1.3933	0.0187
0	TRANSFORMATIONAL LEADERSHIP	0.0196	0.0238	0.0733	-0.1968	0.0047
0	LEARNING	0.0980	0.0714	0.2587	0.7379	0.0172
0	REMANUFACTURING	0.0392	0.0238	0.1466	0.7217	0.0064
0	KNOWLEDGE WORK	0.0588	0.0595	0.1660	-0.0211	0.0115
0	SOCIAL PREFERENCES	0.0392	0.0238	0.1466	0.7217	0.0099
0	QUALITATIVE RESEARCH	0.0196	0.0357	0.0653	-0.6198	0.0070
0	SPECIALIZATION	0.0392	0.0357	0.1307	0.1347	0.0072
