CommunityID	Keywords	TF	DF	TF-IDF	Sigma	TextRank
0	ORGANIZATIONAL-SLACK	0.1111	0.0413	0.3540	1.4876	-1.0000
0	FORMALIZATION	0.0556	0.0083	0.2664	2.2162	-1.0000
0	MULTI-LEVEL ANALYSES	0.0556	0.0165	0.2279	1.2987	-1.0000
0	UNCERTAINTY	0.1111	0.0413	0.3540	1.4876	-1.0000
0	ORGANIZATIONAL STRUCTURE	0.0556	0.0083	0.2664	2.2162	-1.0000
0	CITATION ANALYSIS	0.0556	0.0083	0.2664	2.2162	-1.0000
0	LEAN OPERATIONS	0.1111	0.0165	0.4558	3.1473	-1.0000
0	EMPIRICAL RESEARCH	0.2222	0.3306	0.2460	-0.9772	-1.0000
0	OPERATIONAL AMBIDEXTERITY	0.1111	0.0496	0.3338	1.2024	-1.0000
0	COST	0.0556	0.0165	0.2279	1.2987	-1.0000
0	EXPLORATION	0.0556	0.0165	0.2279	1.2987	-1.0000
0	CONTINGENCY THEORY	0.0556	0.0083	0.2664	2.2162	-1.0000
0	GUSHER	0.0556	0.0165	0.2279	1.2987	-1.0000
0	OPERATIONAL ABSORPTIVE CAPACITY	0.1111	0.0579	0.3167	0.9679	-1.0000
0	OPERATIONS IMPROVEMENT	0.1111	0.0248	0.4108	2.3552	-1.0000
0	BIBLIOMETRIC TECHNIQUES	0.0556	0.0083	0.2664	2.2162	-1.0000
0	VENTURES	0.0556	0.0083	0.2664	2.2162	-1.0000
0	QUALITY MANAGEMENT	0.0556	0.0165	0.2279	1.2987	-1.0000
0	VOLUME FLEXIBILITY	0.0556	0.0744	0.1444	-0.3044	-1.0000
0	EXPLOITATION	0.0556	0.0165	0.2279	1.2987	-1.0000
0	MANUFACTURING STRATEGY	0.0556	0.0496	0.1669	0.1166	-1.0000
0	DYNAMISM	0.1111	0.0165	0.4558	3.1473	-1.0000
0	MEASUREMENT	0.0556	0.0579	0.1583	-0.0417	-1.0000
0	LEAN PURCHASING	0.1111	0.0165	0.4558	3.1473	-1.0000
0	FIT	0.1111	0.0579	0.3167	0.9679	-1.0000
0	REGRESSION ANALYSIS	0.1111	0.0248	0.4108	2.3552	-1.0000
0	TRANSFORMATION MODEL	0.1111	0.0413	0.3540	1.4876	-1.0000
0	SECONDARY DATA	0.0556	0.0248	0.2054	0.8393	-1.0000
0	OPERATIONS MANAGEMENT	0.0556	0.0165	0.2279	1.2987	-1.0000
0	SMALL VERSUS LARGE FIRMS	0.0556	0.0248	0.2054	0.8393	-1.0000
0	STRATEGIC FIT	0.0556	0.0083	0.2664	2.2162	-1.0000
0	PERFORMANCE	0.0556	0.0331	0.1894	0.5339	-1.0000
0	NEW ZEALAND	0.0556	0.0165	0.2279	1.2987	-1.0000
0	MODERATED POLYNOMIAL REGRESSION	0.0556	0.0083	0.2664	2.2162	-1.0000
0	SMES	0.0556	0.0165	0.2279	1.2987	-1.0000
0	FLEXIBILITY	0.5000	0.3223	0.5661	1.6130	-1.0000
0	SUPPLY-CHAIN	0.1111	0.0413	0.3540	1.4876	-1.0000
0	RESOURCE-BASED THEORY	0.1111	0.0413	0.3540	1.4876	-1.0000
0	ENVIRONMENTAL UNCERTAINTY	0.3333	0.0826	0.8311	3.8627	-1.0000
0	ENVIRONMENTAL DYNAMISM	0.1111	0.0579	0.3167	0.9679	-1.0000
0	SOCIAL NETWORK ANALYSIS	0.0556	0.0083	0.2664	2.2162	-1.0000
0	LATENT MODERATED STRUCTURAL EQUATIONS	0.1111	0.0496	0.3338	1.2024	-1.0000
0	OPERATIONS STRATEGY	0.0556	0.2231	0.0833	-1.7077	-1.0000
0	MANUFACTURING FLEXIBILITY	0.2222	0.1240	0.4639	1.2650	-1.0000
0	COMPLEXITY	0.1111	0.0165	0.4558	3.1473	-1.0000
0	HEALTHCARE	0.0556	0.0165	0.2279	1.2987	-1.0000
0	LENGTH OF STAY	0.0556	0.0165	0.2279	1.2987	-1.0000
0	QUALITY	0.0556	0.0165	0.2279	1.2987	-1.0000
0	CO-CITATION	0.0556	0.0083	0.2664	2.2162	-1.0000
1	ORGANIZATIONAL-SLACK	0.0339	0.0413	0.1080	-0.2865	-1.0000
1	OPERATING CAPABILITIES	0.0339	0.0165	0.1391	1.0464	-1.0000
1	PRODUCT DEVELOPMENT	0.0169	0.0083	0.0813	0.7368	-1.0000
1	E-PROCUREMENT	0.0339	0.0165	0.1391	1.0464	-1.0000
1	UNCERTAINTY	0.0339	0.0413	0.1080	-0.2865	-1.0000
1	ENVIRONMENTAL COMPLEXITY	0.0169	0.0083	0.0813	0.7368	-1.0000
1	STRUCTURAL EQUATION MODELING	0.0847	0.0413	0.2700	1.6758	-1.0000
1	SUPPLY CHAIN MANAGEMENT	0.1186	0.0909	0.2845	0.7410	-1.0000
1	INFORMATION SYSTEMS CAPABILITIES	0.0169	0.0083	0.0813	0.7368	-1.0000
1	TOBIN'S Q	0.0169	0.0083	0.0813	0.7368	-1.0000
1	SUPPLY CHAIN FLEXIBILITY	0.0508	0.0331	0.1734	0.7643	-1.0000
1	VARIABILITY	0.0169	0.0083	0.0813	0.7368	-1.0000
1	FOCUSED FACTORY	0.0169	0.0165	0.0695	0.0253	-1.0000
1	VIRTUAL-BUILD-TO-ORDER	0.0169	0.0083	0.0813	0.7368	-1.0000
1	OPERATIONAL INTELLECTUAL CAPITAL	0.0339	0.0165	0.1391	1.0464	-1.0000
1	SUPPLY MANAGEMENT	0.0169	0.0165	0.0695	0.0253	-1.0000
1	SCALE DEVELOPMENT	0.0339	0.0331	0.1156	0.0361	-1.0000
1	AUTOMOTIVE INDUSTRY	0.0169	0.0165	0.0695	0.0253	-1.0000
1	OPERATING TRADE-OFFS	0.0169	0.0083	0.0813	0.7368	-1.0000
1	REGRESSION ANALYSIS	0.0169	0.0248	0.0627	-0.3875	-1.0000
1	SECONDARY DATA	0.0169	0.0248	0.0627	-0.3875	-1.0000
1	DELIVERY PERFORMANCE	0.0508	0.0331	0.1734	0.7643	-1.0000
1	SMALL VERSUS LARGE FIRMS	0.0169	0.0248	0.0627	-0.3875	-1.0000
1	THEORY DEVELOPMENT	0.0169	0.0248	0.0627	-0.3875	-1.0000
1	PLANNING	0.0169	0.0083	0.0813	0.7368	-1.0000
1	LEARNING	0.0169	0.0083	0.0813	0.7368	-1.0000
1	LOGISTICS/DISTRIBUTION	0.0169	0.0083	0.0813	0.7368	-1.0000
1	THE FIT BETWEEN PLANT AND SUPPLIER FLEXIBILITY	0.0169	0.0165	0.0695	0.0253	-1.0000
1	ENVIRONMENTAL DYNAMISM	0.0508	0.0579	0.1449	-0.2304	-1.0000
1	INTERDISCIPLINARY	0.0169	0.0083	0.0813	0.7368	-1.0000
1	SUPPLIER MANAGEMENT	0.0169	0.0083	0.0813	0.7368	-1.0000
1	RADICAL PRODUCT INNOVATION	0.0169	0.0083	0.0813	0.7368	-1.0000
1	COMBINATIVE COMPETITIVE CAPABILITIES	0.0169	0.0083	0.0813	0.7368	-1.0000
1	FREQUENCY	0.0339	0.0165	0.1391	1.0464	-1.0000
1	COMPETITIVE CAPABILITIES	0.0339	0.0331	0.1156	0.0361	-1.0000
1	HEALTHCARE	0.0169	0.0165	0.0695	0.0253	-1.0000
1	MANAGEMENT OF TECHNOLOGY	0.0339	0.0165	0.1391	1.0464	-1.0000
1	MANUFACTURING FLEXIBILITY	0.1017	0.1240	0.2123	-0.5191	-1.0000
1	MULTI-LEVEL ANALYSES	0.0169	0.0165	0.0695	0.0253	-1.0000
1	TAXONOMY	0.0339	0.0248	0.1253	0.4498	-1.0000
1	ADMINISTRATIVE INNOVATION	0.0169	0.0083	0.0813	0.7368	-1.0000
1	EMPIRICAL RESEARCH	0.3051	0.3306	0.3377	-0.4163	-1.0000
1	HEALTH CARE	0.0339	0.0165	0.1391	1.0464	-1.0000
1	LENGTH OF STAY	0.0169	0.0165	0.0695	0.0253	-1.0000
1	MIS/OPERATIONS INTERFACE	0.0169	0.0083	0.0813	0.7368	-1.0000
1	MIX FLEXIBILITY	0.0508	0.0331	0.1734	0.7643	-1.0000
1	OPERATIONS IMPROVEMENT	0.0169	0.0248	0.0627	-0.3875	-1.0000
1	ADVANCED MANUFACTURING TECHNOLOGIES	0.0339	0.0248	0.1253	0.4498	-1.0000
1	STRATEGIC IT ALIGNMENT	0.0169	0.0083	0.0813	0.7368	-1.0000
1	PURCHASE MIX FLEXIBILITY	0.0339	0.0165	0.1391	1.0464	-1.0000
1	MARKETING/OPERATIONS INTERFACE	0.0169	0.0083	0.0813	0.7368	-1.0000
1	EXPLOITATION	0.0169	0.0165	0.0695	0.0253	-1.0000
1	MANAGEMENT LEVERS	0.0169	0.0083	0.0813	0.7368	-1.0000
1	MEASUREMENT	0.0508	0.0579	0.1449	-0.2304	-1.0000
1	MANUFACTURING	0.0339	0.0579	0.0966	-0.7881	-1.0000
1	DATA ENVELOPMENT ANALYSIS	0.0339	0.0248	0.1253	0.4498	-1.0000
1	PLANNING HIERARCHY	0.0169	0.0083	0.0813	0.7368	-1.0000
1	INTERNAL INTEGRATION	0.0169	0.0083	0.0813	0.7368	-1.0000
1	SUPPLY CHAIN IN INDIA	0.0169	0.0165	0.0695	0.0253	-1.0000
1	TRANSFORMATION MODEL	0.0339	0.0413	0.1080	-0.2865	-1.0000
1	INCREMENTAL PROCESS INNOVATION	0.0169	0.0083	0.0813	0.7368	-1.0000
1	PERFORMANCE	0.0339	0.0331	0.1156	0.0361	-1.0000
1	NEW ZEALAND	0.0169	0.0165	0.0695	0.0253	-1.0000
1	TECHNOLOGY	0.0339	0.0165	0.1391	1.0464	-1.0000
1	EXECUTION CORNPETENCE	0.0339	0.0248	0.1253	0.4498	-1.0000
1	SERVICE OPERATIONS	0.0339	0.0165	0.1391	1.0464	-1.0000
1	OPERATIONS STRATEGY	0.2373	0.2231	0.3559	0.2610	-1.0000
1	PURCHASING	0.0169	0.0248	0.0627	-0.3875	-1.0000
1	QUALITY	0.0169	0.0165	0.0695	0.0253	-1.0000
1	FLEXIBILITY COMPETENCE	0.0339	0.0248	0.1253	0.4498	-1.0000
1	INFORMATION SHARING	0.0339	0.0165	0.1391	1.0464	-1.0000
