CommunityID	Keywords	TF	DF	TF-IDF	Sigma
0	PRODUCT SAFETY	0.0333	0.0333	0.1134	0.0000
0	CUSTOMER SATISFACTION	0.0667	0.0667	0.1805	0.0000
0	SUPPLY CHAIN COORDINATION	0.1000	0.1000	0.2303	0.0000
0	VALUE OF INFORMATION	0.0667	0.0667	0.1805	0.0000
0	PROCESS DESIGN	0.0333	0.0333	0.1134	0.0000
0	RFID	0.4333	0.4333	0.3624	0.0000
0	INCENTIVES	0.1000	0.1000	0.2303	0.0000
0	VISIBILITY	0.0333	0.0333	0.1134	0.0000
0	SUPPLY UNCERTAINTY	0.1333	0.1333	0.2687	0.0000
0	BAYES RULE	0.0333	0.0333	0.1134	0.0000
0	TRACEABILITY SYSTEM	0.0667	0.0667	0.1805	0.0000
0	RADIO FREQUENCY IDENTIFICATION (RFID)	0.1000	0.1000	0.2303	0.0000
0	CRITICAL SUCCESS FACTORS	0.0667	0.0667	0.1805	0.0000
0	LEARNING AND KNOWLEDGE MANAGEMENT	0.0667	0.0667	0.1805	0.0000
0	STOCHASTIC LEAD TIMES	0.0667	0.0667	0.1805	0.0000
0	TECHNOLOGY AS AUTOMATION VERSUS LABOR ENHANCING	0.0667	0.0667	0.1805	0.0000
0	WAREHOUSE MANAGEMENT	0.0333	0.0333	0.1134	0.0000
0	SECURITY RISK IN SUPPLY CHAIN	0.0333	0.0333	0.1134	0.0000
0	HEALTHCARE PERFORMANCE	0.0333	0.0333	0.1134	0.0000
0	OPEN SOURCE SOFTWARE DEVELOPMENT	0.0667	0.0667	0.1805	0.0000
0	INNOVATION	0.0667	0.0667	0.1805	0.0000
0	PRODUCT RECALLS	0.0333	0.0333	0.1134	0.0000
0	DUAL SOURCING	0.0667	0.0667	0.1805	0.0000
0	RETAIL EXECUTION	0.0333	0.0333	0.1134	0.0000
0	IMPLEMENTATION	0.0667	0.0667	0.1805	0.0000
0	BENEFITS	0.0333	0.0333	0.1134	0.0000
0	BARGAINING	0.0667	0.0667	0.1805	0.0000
0	EMERGENCY ORDERING	0.0667	0.0667	0.1805	0.0000
0	HEALTHCARE TECHNOLOGY	0.0333	0.0333	0.1134	0.0000
0	E-SERVICES	0.0667	0.0667	0.1805	0.0000
0	PERFORMANCE EVALUATION	0.0333	0.0333	0.1134	0.0000
0	COLLABORATION AND COORDINATION	0.0667	0.0667	0.1805	0.0000
0	SECURITY	0.0667	0.0667	0.1805	0.0000
0	RETAIL	0.0333	0.0333	0.1134	0.0000
0	SUPPLY CHAIN VISIBILITY	0.0667	0.0667	0.1805	0.0000
0	DATA ENVELOPMENT ANALYSIS	0.0333	0.0333	0.1134	0.0000
0	ARCHITECTURE	0.0667	0.0667	0.1805	0.0000
