CommunityID	Keywords	TF	DF	TF-IDF	Sigma	TextRank
0	CUSTOMER SATISFACTION	0.0196	0.0196	0.0771	0.0000	-1.0000
0	MOTIVATION	0.0196	0.0196	0.0771	0.0000	-1.0000
0	UNCERTAINTY	0.0392	0.0392	0.1270	0.0000	-1.0000
0	DYNAMIC GAMES	0.0196	0.0196	0.0771	0.0000	-1.0000
0	SUPPLY CHAIN MANAGEMENT	0.0392	0.0392	0.1270	0.0000	-1.0000
0	RETAILING	0.0784	0.0784	0.1996	0.0000	-1.0000
0	AIRLINE	0.0196	0.0196	0.0771	0.0000	-1.0000
0	DISAPPOINTMENT AVERSION	0.0588	0.0588	0.1667	0.0000	-1.0000
0	SUPPLY CONTRACTS	0.0588	0.0588	0.1667	0.0000	-1.0000
0	CLEARANCE PRICING	0.0392	0.0392	0.1270	0.0000	-1.0000
0	SPECULATORS	0.0196	0.0196	0.0771	0.0000	-1.0000
0	COLLABORATION AND COORDINATION	0.0196	0.0196	0.0771	0.0000	-1.0000
0	CAPACITY CONSTRAINT	0.0196	0.0196	0.0771	0.0000	-1.0000
0	PRICING AND ALLOCATION	0.0196	0.0196	0.0771	0.0000	-1.0000
0	CUSTOMER LEARNING	0.0588	0.0588	0.1667	0.0000	-1.0000
0	BEHAVIORAL OPERATIONS	0.0196	0.0196	0.0771	0.0000	-1.0000
0	CROSS-SELLING	0.0196	0.0196	0.0771	0.0000	-1.0000
0	PRODUCT VARIETY	0.0588	0.0588	0.1667	0.0000	-1.0000
0	EXPERIMENT	0.0196	0.0196	0.0771	0.0000	-1.0000
0	PRICING	0.1569	0.1569	0.2906	0.0000	-1.0000
0	POLICIES	0.0392	0.0392	0.1270	0.0000	-1.0000
0	ADVANCE SELLING	0.0196	0.0196	0.0771	0.0000	-1.0000
0	NEWSVENDOR MODEL	0.0588	0.0588	0.1667	0.0000	-1.0000
0	STRATEGIC CUSTOMER BEHAVIOR	0.1176	0.1176	0.2518	0.0000	-1.0000
0	SINGLE-BID	0.0196	0.0196	0.0771	0.0000	-1.0000
0	DOUBLE-BID	0.0196	0.0196	0.0771	0.0000	-1.0000
0	RFID	0.0196	0.0196	0.0771	0.0000	-1.0000
