CommunityID	Keywords	TF	DF	TF-IDF	Sigma
0	OPERATIONS	0.0625	0.0455	0.1932	0.3273
0	RENEGING	0.1250	0.0273	0.4502	2.4000
0	PROCESSES	0.0625	0.0455	0.1932	0.3273
0	CUSTOMER RELATIONSHIP MANAGEMENT	0.0625	0.0364	0.2071	0.5585
0	TIME-VARYING DEMAND	0.1250	0.0455	0.3864	1.5275
0	CALL-CENTER STAFFING	0.0625	0.0364	0.2071	0.5585
0	OUTSOURCING	0.1250	0.0818	0.3129	0.6302
0	CALL ROUTING	0.0625	0.0364	0.2071	0.5585
0	CONTACT CENTERS	0.0625	0.0727	0.1638	-0.1575
0	BURSTY CALL ARRIVAL	0.0625	0.0364	0.2071	0.5585
0	CALL CENTER MANAGEMENT	0.1250	0.0909	0.2997	0.4743
0	CROSS-SELLING HEURISTIC	0.0625	0.0273	0.2251	0.8651
0	FLUID MODELS	0.1250	0.0455	0.3864	1.5275
0	STOCHASTIC METHODS	0.1250	0.0273	0.4502	2.4000
0	ABANDONMENTS	0.0625	0.0182	0.2505	1.3268
0	CROSS-TRAINING	0.1250	0.0545	0.3636	1.2410
0	STOCHASTIC NETWORKS	0.0625	0.0182	0.2505	1.3268
0	SKILL-BASED ROUTING	0.0625	0.1182	0.1335	-0.6899
0	PRIORITY ROUTING	0.0625	0.0364	0.2071	0.5585
0	DOUBLY STOCHASTIC ARRIVALS	0.0625	0.0182	0.2505	1.3268
0	STOCHASTIC CONVEXITY	0.1250	0.0273	0.4502	2.4000
0	QUEUES WITH TIME-VARYING ARRIVAL RATE	0.1250	0.0455	0.3864	1.5275
0	QUEUEING THEORY	0.1250	0.0273	0.4502	2.4000
0	DYNAMIC ROUTING	0.0625	0.0182	0.2505	1.3268
0	WORKFORCE SCHEDULING	0.1250	0.0455	0.3864	1.5275
0	REAL-TIME OPTIMIZATION	0.1250	0.0455	0.3864	1.5275
0	POLICE PATROL	0.1250	0.0455	0.3864	1.5275
0	QUEUEING SYSTEMS	0.1250	0.0273	0.4502	2.4000
0	CAPACITY PLANNING	0.1250	0.0636	0.3443	1.0055
0	ASSET MANAGEMENT	0.0625	0.0455	0.1932	0.3273
0	POINTWISE STATIONARY	0.0625	0.0182	0.2505	1.3268
0	UNOBSERVABLE QUEUES	0.1250	0.0273	0.4502	2.4000
0	CALL CENTER	0.0625	0.0364	0.2071	0.5585
