CommunityID	Keywords	TF	DF	TF-IDF	Sigma	TextRank
0	FINANCIAL ANALYSIS	0.0089	0.0028	0.0526	1.7514	0.0020
0	PRODUCT DEVELOPMENT	0.0089	0.0028	0.0526	1.7514	0.0026
0	E-PROCUREMENT	0.0089	0.0069	0.0444	0.3596	0.0022
0	INDUSTRIALIZATION	0.0089	0.0042	0.0489	1.1085	0.0028
0	UNCERTAINTY	0.0045	0.0028	0.0263	0.4810	0.0017
0	SUPPLY CHAIN MANAGEMENT	0.0714	0.0638	0.1966	0.4671	0.0153
0	INFORMATION SYSTEMS CAPABILITIES	0.0045	0.0014	0.0294	1.2376	0.0026
0	QUALITATIVE DATA	0.0089	0.0028	0.0526	1.7514	0.0026
0	LEAN MANUFACTURING PRACTICES	0.0134	0.0097	0.0621	0.5623	0.0028
0	JOB DESIGN	0.0134	0.0042	0.0734	2.1465	0.0018
0	SUPPLY CHAIN KNOWLEDGE	0.0045	0.0014	0.0294	1.2376	0.0026
0	KNOWLEDGE MANAGEMENT	0.0089	0.0180	0.0359	-1.0238	0.0017
0	SUPPLY MANAGEMENT	0.0268	0.0097	0.1241	2.6066	0.0066
0	INDUSTRY EXCHANGE	0.0223	0.0069	0.1110	2.7750	0.0031
0	LABOR PRODUCTIVITY	0.0089	0.0042	0.0489	1.1085	0.0031
0	FIT	0.0089	0.0042	0.0489	1.1085	0.0017
0	SECONDARY DATA	0.0179	0.0055	0.0928	2.4803	0.0040
0	OPERATIONS MANAGEMENT	0.0134	0.0125	0.0587	0.1227	0.0043
0	HEALTHCARE OPERATIONS	0.0268	0.0250	0.0988	0.1746	0.0054
0	THEORY DEVELOPMENT	0.0446	0.0374	0.1466	0.5672	0.0042
0	LOGISTICS/DISTRIBUTION	0.0045	0.0028	0.0263	0.4810	0.0013
0	THE FIT BETWEEN PLANT AND SUPPLIER FLEXIBILITY	0.0045	0.0028	0.0263	0.4810	0.0021
0	LOGISTICS	0.0045	0.0014	0.0294	1.2376	0.0014
0	INNOVATION CAPABILITY	0.0134	0.0069	0.0666	1.1647	0.0028
0	JOURNALS IN OM	0.0045	0.0014	0.0294	1.2376	0.0019
0	SUPPLIER MANAGEMENT	0.0045	0.0139	0.0191	-1.2036	0.0019
0	INFINITE-SERVER QUEUES	0.0045	0.0014	0.0294	1.2376	0.0026
0	EMPIRICAL METHODS	0.0089	0.0055	0.0464	0.6812	0.0019
0	THEORY OF PERFORMANCE FRONTIERS	0.0045	0.0083	0.0214	-0.6355	0.0021
0	MARKET PERFORMANCE	0.0045	0.0014	0.0294	1.2376	0.0026
0	TAXONOMY	0.0045	0.0014	0.0294	1.2376	0.0013
0	INVENTORY PERFORMANCE	0.0089	0.0028	0.0526	1.7514	0.0029
0	PRIORITY RULE	0.0045	0.0014	0.0294	1.2376	0.0016
0	CONTROL THEORY	0.0134	0.0083	0.0641	0.8355	0.0025
0	EMPIRICAL RESEARCH	0.0848	0.1442	0.1642	-2.5314	0.0177
0	MIS/OPERATIONS INTERFACE	0.0045	0.0028	0.0263	0.4810	0.0013
0	SUSTAINABLE OPERATIONS MANAGEMENT	0.0089	0.0028	0.0526	1.7514	0.0026
0	OM RESEARCH	0.0045	0.0014	0.0294	1.2376	0.0019
0	EXPLOITATION	0.0045	0.0194	0.0176	-1.6219	0.0015
0	WORKING CAPITAL	0.0045	0.0028	0.0263	0.4810	0.0018
0	DYNAMISM	0.0312	0.0111	0.1407	2.8796	0.0033
0	MAINTENANCE AND RELIABILITY	0.0045	0.0055	0.0232	-0.2183	0.0014
0	LEAN PRODUCTION	0.1161	0.0485	0.3511	4.7027	0.0116
0	OFFERED LOAD ANALYSIS	0.0045	0.0014	0.0294	1.2376	0.0026
0	MAINTENANCE	0.0134	0.0097	0.0621	0.5623	0.0028
0	MASS CUSTOMIZATION	0.0223	0.0111	0.1005	1.6039	0.0036
0	STRONG INFERENCE	0.0089	0.0042	0.0489	1.1085	0.0017
0	OPERATIONS STRATEGY	0.0402	0.0444	0.1252	-0.3055	0.0066
0	INTRINSIC MOTIVATION	0.0134	0.0042	0.0734	2.1465	0.0018
0	RELATIONAL VIEW	0.0045	0.0014	0.0294	1.2376	0.0015
0	LEANNESS	0.0223	0.0097	0.1035	1.9252	0.0029
0	LEAN OPERATIONS	0.0312	0.0111	0.1407	2.8796	0.0033
0	IMPLEMENTATION	0.0045	0.0042	0.0245	0.0705	0.0017
0	THEORY BUILDING	0.0089	0.0166	0.0366	-0.9026	0.0027
0	CONSTRAINING-FACTOR MODEL	0.0045	0.0014	0.0294	1.2376	0.0022
0	SHOPFLOOR BEHAVIOR	0.0089	0.0042	0.0489	1.1085	0.0027
0	OUTSOURCING	0.0089	0.0139	0.0382	-0.6323	0.0019
0	RELATIONSHIP COMMITMENT	0.0179	0.0069	0.0888	1.9698	0.0029
0	EXPLORATION	0.0045	0.0194	0.0176	-1.6219	0.0015
0	PIONEERS	0.0045	0.0014	0.0294	1.2376	0.0015
0	COMMITMENT THEORY	0.0134	0.0083	0.0641	0.8355	0.0025
0	PLANT PERFORMANCE	0.0045	0.0028	0.0263	0.4810	0.0021
0	AGILITY	0.0268	0.0111	0.1206	2.2418	0.0036
0	BUSINESS SYSTEMS	0.0179	0.0097	0.0828	1.2438	0.0032
0	MULTINATIONAL FIRMS	0.0045	0.0014	0.0294	1.2376	0.0014
0	EMPIRICAL RESEARCH METHODS	0.0491	0.0416	0.1561	0.5620	0.0098
0	DESIGN-MANUFACTURING INTEGRATION	0.0045	0.0014	0.0294	1.2376	0.0012
0	INFORMATION PROCESSING	0.0045	0.0014	0.0294	1.2376	0.0017
0	INTELLECTUAL CAPITAL	0.0045	0.0014	0.0294	1.2376	0.0026
0	FIELD RESEARCH	0.0045	0.0083	0.0214	-0.6355	0.0016
0	MODERATED POLYNOMIAL REGRESSION	0.0045	0.0042	0.0245	0.0705	0.0013
0	WORKER EXPERTISE	0.0045	0.0014	0.0294	1.2376	0.0026
0	OPPORTUNISM	0.0045	0.0028	0.0263	0.4810	0.0017
0	MAKE-TO-ORDER	0.0045	0.0014	0.0294	1.2376	0.0026
0	RESOURCE CONSTRAINTS	0.0223	0.0097	0.1035	1.9252	0.0029
0	PATIENT SAFETY INITIATIVES	0.0134	0.0083	0.0641	0.8355	0.0025
0	MODULARITY	0.0045	0.0014	0.0294	1.2376	0.0026
0	INDIVIDUALISM/COLLECTIVISM	0.0045	0.0083	0.0214	-0.6355	0.0021
0	OPERATIONAL FAILURES	0.0045	0.0055	0.0232	-0.2183	0.0014
0	WORKLOAD CONTROL	0.0045	0.0014	0.0294	1.2376	0.0026
0	LABORATORY EXPERIMENTS	0.0045	0.0028	0.0263	0.4810	0.0017
0	ASIA	0.0089	0.0180	0.0359	-1.0238	0.0036
0	IMPLEMENTATION OBSTACLES	0.0045	0.0014	0.0294	1.2376	0.0017
0	PROCEDURAL RATIONALITY	0.0045	0.0014	0.0294	1.2376	0.0017
0	SECONDARY MEASURES OF PERFORMANCE	0.0089	0.0028	0.0526	1.7514	0.0026
0	META-ANALYSIS	0.0268	0.0277	0.0960	-0.0869	0.0039
0	ELECTRONIC COMMERCE	0.0223	0.0069	0.1110	2.7750	0.0031
0	SERVER STAFFING	0.0045	0.0014	0.0294	1.2376	0.0026
0	DYNAMIC CAPABILITIES	0.0045	0.0042	0.0245	0.0705	0.0012
0	JUST-IN-TIME	0.0268	0.0125	0.1174	1.9281	0.0061
0	PRODUCT ARCHITECTURE	0.0045	0.0014	0.0294	1.2376	0.0026
0	TOYOTA	0.0045	0.0014	0.0294	1.2376	0.0026
0	JIT	0.0045	0.0014	0.0294	1.2376	0.0026
0	SIMULATION	0.0045	0.0028	0.0263	0.4810	0.0016
0	COMPLEXITY	0.0402	0.0166	0.1646	2.7533	0.0046
0	ENVIRONMENTAL ISSUES	0.0045	0.0042	0.0245	0.0705	0.0017
0	CYCLES	0.0045	0.0014	0.0294	1.2376	0.0026
0	AIRCRAFT MANUFACTURING	0.0223	0.0097	0.1035	1.9252	0.0026
0	INVENTORY EFFICIENCY	0.0089	0.0028	0.0526	1.7514	0.0026
0	FIRM PERFORMANCE	0.0045	0.0180	0.0179	-1.5259	0.0013
0	BEHAVIORAL OPERATIONS MANAGEMENT	0.0045	0.0014	0.0294	1.2376	0.0017
0	ACCOUNTING/OPERATIONS INTERFACE	0.0089	0.0028	0.0526	1.7514	0.0020
0	EMPIRICAL ANALYSIS	0.0045	0.0014	0.0294	1.2376	0.0013
0	MIXED-METHODS RESEARCH	0.0089	0.0042	0.0489	1.1085	0.0017
0	COMPETITION	0.0045	0.0014	0.0294	1.2376	0.0017
0	ACADEMIC DISCIPLINE	0.0045	0.0014	0.0294	1.2376	0.0015
0	FORMALIZATION	0.0045	0.0042	0.0245	0.0705	0.0013
0	QUALITY MANAGEMENT	0.0491	0.2344	0.0712	-6.5463	0.0084
0	STATISTICAL ANALYSIS	0.0045	0.0125	0.0196	-1.0809	0.0014
0	REPLICATION RESEARCH	0.0045	0.0097	0.0207	-0.8005	0.0011
0	ELECTRONIC DATA INTERCHANGE	0.0045	0.0028	0.0263	0.4810	0.0015
0	LEAD TIME ANALYSIS	0.0045	0.0014	0.0294	1.2376	0.0026
0	REGRESSION ANALYSIS	0.0045	0.0069	0.0222	-0.4456	0.0014
0	SUSTAINABILITY	0.0045	0.0014	0.0294	1.2376	0.0013
0	FINANCIAL/ECONOMIC ANALYSIS	0.0134	0.0055	0.0696	1.5807	0.0023
0	LABORATORY RESEARCH	0.0045	0.0083	0.0214	-0.6355	0.0016
0	LEARNING	0.0223	0.0139	0.0955	1.0816	0.0029
0	RELATIONSHIP QUALITY	0.0045	0.0014	0.0294	1.2376	0.0026
0	LEAN BUNDLES	0.0134	0.0097	0.0621	0.5623	0.0028
0	MOA FRAMEWORK	0.0045	0.0014	0.0294	1.2376	0.0022
0	ROUTINES	0.0134	0.0097	0.0621	0.5623	0.0028
0	CONTINGENCY THEORY	0.0759	0.0666	0.2056	0.5595	0.0117
0	HUMAN RESOURCE/OPERATIONS INTERFACE	0.0089	0.0028	0.0526	1.7514	0.0023
0	COMBINATIVE COMPETITIVE CAPABILITIES	0.0045	0.0014	0.0294	1.2376	0.0015
0	CONFIRMATORY FACTOR ANALYSIS	0.0312	0.0125	0.1370	2.5299	0.0030
0	JUST-IN-TIME PURCHASING	0.0134	0.0055	0.0696	1.5807	0.0027
0	SURVEYS	0.0045	0.0014	0.0294	1.2376	0.0014
0	STOCK MARKET RISK	0.0089	0.0028	0.0526	1.7514	0.0026
0	MBNQA	0.0089	0.0097	0.0414	-0.1191	0.0020
0	STRUCTURAL EQUATIONS MODELING	0.0089	0.0042	0.0489	1.1085	0.0026
0	CROSS-FUNCTIONAL INTERFACE	0.0045	0.0042	0.0245	0.0705	0.0017
0	INTER-ORGANIZATIONAL COMMUNICATION	0.0045	0.0028	0.0263	0.4810	0.0020
0	GLOBAL OPERATIONS	0.0089	0.0139	0.0382	-0.6323	0.0023
0	E-COLLABORATION	0.0045	0.0028	0.0263	0.4810	0.0016
0	STRATEGIC IT ALIGNMENT	0.0045	0.0014	0.0294	1.2376	0.0026
0	ABSORPTIVE CAPACITY	0.0045	0.0014	0.0294	1.2376	0.0017
0	LITERATURE REVIEW	0.0134	0.0125	0.0587	0.1227	0.0044
0	TRADEOFFS	0.0179	0.0055	0.0928	2.4803	0.0029
0	PROCESS CONTROL	0.0134	0.0055	0.0696	1.5807	0.0031
0	INFORMATION TECHNOLOGY	0.0134	0.0111	0.0603	0.3282	0.0031
0	CONTEXTUAL FACTORS	0.0134	0.0125	0.0587	0.1227	0.0028
0	CLASSIFICATION	0.0089	0.0042	0.0489	1.1085	0.0028
0	ORGANIZATIONAL PERFORMANCE	0.0223	0.0277	0.0800	-0.4938	0.0047
0	CAPABILITY DEVELOPMENT	0.0179	0.0097	0.0828	1.2438	0.0023
0	KNOWLEDGE EXCHANGE	0.0045	0.0014	0.0294	1.2376	0.0015
