CommunityID	Keywords	TF	DF	TF-IDF	Sigma	TextRank
0	ORGANIZATIONAL-SLACK	0.0202	0.0154	0.0843	0.3895	0.0042
0	PRODUCT DEVELOPMENT	0.0303	0.0231	0.1142	0.4789	0.0054
0	FIRM PERFORMANCE	0.0101	0.0077	0.0492	0.2743	0.0032
0	UNCERTAINTY	0.0202	0.0154	0.0843	0.3895	0.0042
0	VISIBILITY	0.0101	0.0154	0.0422	-0.4271	0.0023
0	SUPPLY CHAIN MANAGEMENT	0.1010	0.1692	0.1794	-1.8103	0.0200
0	MIXED-METHODS RESEARCH	0.0101	0.0077	0.0492	0.2743	0.0030
0	DATA ANALYSIS	0.0101	0.0077	0.0492	0.2743	0.0029
0	MARKETING/OPERATIONS INTERFACE	0.0303	0.0308	0.1055	-0.0269	0.0059
0	OPERATIONAL FAILURES	0.0101	0.0077	0.0492	0.2743	0.0037
0	JOB DESIGN	0.0101	0.0077	0.0492	0.2743	0.0024
0	STRATEGIC SUPPLY NETWORKS	0.0202	0.0154	0.0843	0.3895	0.0040
0	VARIABILITY	0.0303	0.0231	0.1142	0.4789	0.0045
0	FOCUSED FACTORY	0.0101	0.0077	0.0492	0.2743	0.0025
0	QUALITATIVE CASE RESEARCH	0.0202	0.0154	0.0843	0.3895	0.0042
0	SYSTEM DYNAMICS	0.0101	0.0077	0.0492	0.2743	0.0026
0	PERFORMANCE METRICS	0.0101	0.0077	0.0492	0.2743	0.0042
0	PERFORMANCE EFFECTS OF INTER-FUNCTIONAL INTERFACES	0.0101	0.0077	0.0492	0.2743	0.0027
0	SERVICE ORGANIZATIONS	0.0101	0.0077	0.0492	0.2743	0.0037
0	QUALITY MANAGEMENT	0.0707	0.0538	0.2066	0.7433	0.0130
0	CONCEPTUAL METHODS	0.0202	0.0154	0.0843	0.3895	0.0042
0	COMMITMENT THEORY	0.0101	0.0077	0.0492	0.2743	0.0028
0	SUPPLY CHAIN MANAGEMENT (SCM)	0.0202	0.0154	0.0843	0.3895	0.0038
0	MIS-OPERATIONS INTERFACE	0.0101	0.0231	0.0381	-0.8599	0.0029
0	HUMAN RESOURCES/OPERATIONS INTERFACE	0.0101	0.0077	0.0492	0.2743	0.0024
0	OPERATING TRADE-OFFS	0.0303	0.0231	0.1142	0.4789	0.0045
0	SOM CONTENT	0.0101	0.0077	0.0492	0.2743	0.0029
0	SECONDARY DATA	0.0101	0.0077	0.0492	0.2743	0.0031
0	RESEARCHER SURVEY	0.0101	0.0077	0.0492	0.2743	0.0042
0	OPERATIONS INTERFACE	0.0101	0.0077	0.0492	0.2743	0.0028
0	HEALTHCARE OPERATIONS	0.0101	0.0077	0.0492	0.2743	0.0028
0	SUSTAINABILITY	0.0303	0.0308	0.1055	-0.0269	0.0068
0	METHODOLOGY	0.0101	0.0077	0.0492	0.2743	0.0029
0	LOGISTICS/DISTRIBUTION	0.0404	0.0308	0.1407	0.5551	0.0069
0	MANUFACTURING	0.0202	0.0154	0.0843	0.3895	0.0034
0	QUALITATIVE RESEARCH	0.0303	0.0231	0.1142	0.4789	0.0042
0	RESEARCH METHODS	0.0303	0.0308	0.1055	-0.0269	0.0067
0	INTERDISCIPLINARY	0.0101	0.0154	0.0422	-0.4271	0.0023
0	MEASUREMENT METHODOLOGY	0.0202	0.0154	0.0843	0.3895	0.0042
0	DECISION SUPPORT	0.0202	0.0154	0.0843	0.3895	0.0042
0	SERVICE MANAGEMENT	0.0202	0.0154	0.0843	0.3895	0.0042
0	EXPERIENCE	0.0101	0.0077	0.0492	0.2743	0.0035
0	INNOVATION STRATEGY	0.0101	0.0077	0.0492	0.2743	0.0038
0	COOPETITION	0.0202	0.0154	0.0843	0.3895	0.0040
0	HUMAN RESOURCE/OM INTERFACE	0.0101	0.0077	0.0492	0.2743	0.0023
0	TRANSACTION COST ECONOMICS	0.0101	0.0077	0.0492	0.2743	0.0032
0	LEAN PRODUCTION	0.0404	0.0308	0.1407	0.5551	0.0047
0	ETHNOGRAPHY	0.0101	0.0077	0.0492	0.2743	0.0029
0	INTERNET	0.0101	0.0077	0.0492	0.2743	0.0042
0	PROCESS IMPROVEMENT	0.0404	0.0308	0.1407	0.5551	0.0047
0	EMPIRICAL METHODS	0.0101	0.0077	0.0492	0.2743	0.0027
0	SUPPLIER MANAGEMENT	0.0202	0.0231	0.0761	-0.1905	0.0038
0	LITERATURE REVIEW	0.0101	0.0077	0.0492	0.2743	0.0042
0	PRODUCTION PLANNING	0.0101	0.0077	0.0492	0.2743	0.0024
0	TASK-TECHNOLOGY FIT	0.0202	0.0154	0.0843	0.3895	0.0042
0	GUSHER	0.0101	0.0077	0.0492	0.2743	0.0026
0	ARCHETYPES	0.0101	0.0231	0.0381	-0.8599	0.0025
0	PROCESS DESIGN	0.0303	0.0231	0.1142	0.4789	0.0059
0	QUALITATIVE	0.0202	0.0231	0.0761	-0.1905	0.0042
0	ORGANIZATIONAL ISSUES	0.0202	0.0154	0.0843	0.3895	0.0043
0	GENERAL METHODOLOGY	0.0202	0.0154	0.0843	0.3895	0.0042
0	CONTROL THEORY	0.0101	0.0077	0.0492	0.2743	0.0028
0	EMPIRICAL RESEARCH	0.0404	0.0385	0.1316	0.1005	0.0072
0	GREEN SUPPLY CHAIN MANAGEMENT	0.0101	0.0154	0.0422	-0.4271	0.0028
0	INSTITUTIONAL THEORY	0.0101	0.0077	0.0492	0.2743	0.0024
0	CASE RESEARCH	0.0202	0.0154	0.0843	0.3895	0.0061
0	SUPPLIER PERFORMANCE	0.0101	0.0231	0.0381	-0.8599	0.0031
0	PRINT	0.0101	0.0077	0.0492	0.2743	0.0042
0	WORK TEAMS	0.0202	0.0154	0.0843	0.3895	0.0034
0	HYPOTHESIS TESTING	0.0101	0.0077	0.0492	0.2743	0.0029
0	COLLABORATIVE RELATIONSHIP	0.0101	0.0077	0.0492	0.2743	0.0042
0	PLANT MANAGERS	0.0303	0.0231	0.1142	0.4789	0.0042
0	RETURNS MANAGEMENT	0.0303	0.0231	0.1142	0.4789	0.0044
0	MARKETING	0.0101	0.0077	0.0492	0.2743	0.0028
0	CUSTOMER FOCUS	0.0202	0.0154	0.0843	0.3895	0.0039
0	PROJECT MANAGEMENT	0.0202	0.0154	0.0843	0.3895	0.0042
0	EXPLOITATION	0.0101	0.0154	0.0422	-0.4271	0.0038
0	SUPPLIER-SUPPLIER RELATIONSHIPS	0.0202	0.0385	0.0658	-0.9447	0.0051
0	PERFORMANCE ANALYSIS	0.0101	0.0077	0.0492	0.2743	0.0024
0	MEASUREMENT	0.0101	0.0077	0.0492	0.2743	0.0028
0	BATCHING	0.0101	0.0077	0.0492	0.2743	0.0022
0	TCE	0.0101	0.0077	0.0492	0.2743	0.0042
0	INDUCTIVE	0.0202	0.0231	0.0761	-0.1905	0.0042
0	MIS/OM INTERFACE	0.0101	0.0077	0.0492	0.2743	0.0023
0	DATA ENVELOPMENT ANALYSIS	0.0101	0.0077	0.0492	0.2743	0.0042
0	COMPETITIVE CAPABILITIES	0.0101	0.0077	0.0492	0.2743	0.0023
0	LEARNING CURVES	0.0404	0.0308	0.1407	0.5551	0.0047
0	ORGANISATIONAL BEHAVIOR	0.0202	0.0154	0.0843	0.3895	0.0032
0	THEORY	0.0303	0.0308	0.1055	-0.0269	0.0062
0	SERVICE OPERATIONS STRATEGY	0.0101	0.0077	0.0492	0.2743	0.0035
0	TRANSFORMATION MODEL	0.0202	0.0154	0.0843	0.3895	0.0042
0	FORECASTING	0.0303	0.0231	0.1142	0.4789	0.0059
0	PERFORMANCE	0.0101	0.0154	0.0422	-0.4271	0.0029
0	NEW ZEALAND	0.0101	0.0077	0.0492	0.2743	0.0026
0	SERVICE OPERATIONS MANAGEMENT	0.0101	0.0077	0.0492	0.2743	0.0029
