CommunityID	Keywords	TF	DF	TF-IDF	Sigma	TextRank
0	QUESTIONNAIRES/SURVEYS/INTERVIEWS	0.1111	0.1111	0.2441	0.0000	-1.0000
0	US MANUFACTURING INDUSTRIES	0.1111	0.1111	0.2441	0.0000	-1.0000
0	DECISION-MAKING	0.1111	0.1111	0.2441	0.0000	-1.0000
0	STAKEHOLDER PRESSURE	0.1111	0.1111	0.2441	0.0000	-1.0000
0	SUPPLY CHAIN MANAGEMENT	0.0556	0.0556	0.1606	0.0000	-1.0000
0	CO-OPETITION RELATIONS	0.0556	0.0556	0.1606	0.0000	-1.0000
0	GREEN SUPPLY CHAIN MANAGEMENT	0.1111	0.1111	0.2441	0.0000	-1.0000
0	CROSS-FUNCTIONAL INTERFACE	0.1111	0.1111	0.2441	0.0000	-1.0000
0	SUSTAINABLE OPERATIONS MANAGEMENT	0.0556	0.0556	0.1606	0.0000	-1.0000
0	HUMAN RESOURCE TRAINING	0.1111	0.1111	0.2441	0.0000	-1.0000
0	SUPPLY NETWORKS	0.0556	0.0556	0.1606	0.0000	-1.0000
0	ENVIRONMENTAL PERFORMANCE	0.0556	0.0556	0.1606	0.0000	-1.0000
0	IMPLEMENTATION	0.1111	0.1111	0.2441	0.0000	-1.0000
0	COMPLEXITY THEORY	0.1111	0.1111	0.2441	0.0000	-1.0000
0	ENVIRONMENTAL AND OPERATIONS MANAGEMENT	0.1111	0.1111	0.2441	0.0000	-1.0000
0	THE NATURAL ENVIRONMENT	0.0556	0.0556	0.1606	0.0000	-1.0000
0	SUPPLY MANAGEMENT	0.0556	0.0556	0.1606	0.0000	-1.0000
0	SECOND-TIER SUPPLIERS	0.0556	0.0556	0.1606	0.0000	-1.0000
0	ENVIRONMENTAL MANAGEMENT	0.1111	0.1111	0.2441	0.0000	-1.0000
0	ENVIRONMENTAL INITIATIVES	0.0556	0.0556	0.1606	0.0000	-1.0000
0	STRUCTURAL ANALYSIS	0.0556	0.0556	0.1606	0.0000	-1.0000
0	SECONDARY MEASURES OF PERFORMANCE	0.0556	0.0556	0.1606	0.0000	-1.0000
0	ENTREPRENEURIAL ORIENTATION	0.0556	0.0556	0.1606	0.0000	-1.0000
0	ORGANIZATIONAL CULTURE	0.0556	0.0556	0.1606	0.0000	-1.0000
0	LIFE CYCLE ASSESSMENT	0.1111	0.1111	0.2441	0.0000	-1.0000
0	BY-PRODUCTS	0.1111	0.1111	0.2441	0.0000	-1.0000
0	MEDIATION	0.1111	0.1111	0.2441	0.0000	-1.0000
0	SUPPLY CHAIN	0.1111	0.1111	0.2441	0.0000	-1.0000
0	SUSTAINABLE DEVELOPMENT INNOVATION	0.1111	0.1111	0.2441	0.0000	-1.0000
0	SUSTAINABILITY	0.2222	0.2222	0.3342	0.0000	-1.0000
0	AWARDS	0.0556	0.0556	0.1606	0.0000	-1.0000
0	INTERNATIONAL/GLOBAL ISSUES	0.0556	0.0556	0.1606	0.0000	-1.0000
0	EMPLOYEE WELL-BEING	0.0556	0.0556	0.1606	0.0000	-1.0000
0	QUALITATIVE DATA	0.0556	0.0556	0.1606	0.0000	-1.0000
0	NETWORK INDICES	0.0556	0.0556	0.1606	0.0000	-1.0000
0	CERTIFICATIONS	0.0556	0.0556	0.1606	0.0000	-1.0000
0	ENVIRONMENTAL ISSUES	0.1667	0.1667	0.2986	0.0000	-1.0000
0	STOCK MARKET REACTION	0.0556	0.0556	0.1606	0.0000	-1.0000
0	INTERNET-ENABLED SYSTEMS	0.0556	0.0556	0.1606	0.0000	-1.0000
0	SOCIAL NETWORK ANALYSIS	0.0556	0.0556	0.1606	0.0000	-1.0000
0	SOCIAL RESPONSIBILITY	0.0556	0.0556	0.1606	0.0000	-1.0000
0	KNOWLEDGE ACQUISITION	0.0556	0.0556	0.1606	0.0000	-1.0000
0	SUPPLY CHAIN KNOWLEDGE MANAGEMENT	0.0556	0.0556	0.1606	0.0000	-1.0000
0	COMPETITION	0.1111	0.1111	0.2441	0.0000	-1.0000
0	NETWORK STRUCTURE	0.0556	0.0556	0.1606	0.0000	-1.0000
0	INSTITUTIONAL PRESSURES	0.0556	0.0556	0.1606	0.0000	-1.0000
0	MARKET VALUE	0.0556	0.0556	0.1606	0.0000	-1.0000
