CommunityID	Keywords	TF	DF	TF-IDF	Sigma	TextRank
0	CUSTOMER SATISFACTION	0.0625	0.0625	0.1733	0.0000	-1.0000
0	SUPPLY CHAIN MANAGEMENT	0.1562	0.1562	0.2900	0.0000	-1.0000
0	EFFICIENCY	0.0312	0.0312	0.1083	0.0000	-1.0000
0	PRODUCT AVAILABILITY	0.0938	0.0938	0.2219	0.0000	-1.0000
0	COORDINATION	0.0938	0.0938	0.2219	0.0000	-1.0000
0	COALITION FORMATION	0.0625	0.0625	0.1733	0.0000	-1.0000
0	SOCIAL CHARACTERISTICS	0.0312	0.0312	0.1083	0.0000	-1.0000
0	SYNCHRONIZATION	0.0312	0.0312	0.1083	0.0000	-1.0000
0	SOCIAL DILEMMAS	0.0312	0.0312	0.1083	0.0000	-1.0000
0	COLLABORATION AND COORDINATION	0.0625	0.0625	0.1733	0.0000	-1.0000
0	VALUE-ADDING RETAILER	0.0312	0.0312	0.1083	0.0000	-1.0000
0	ENTERPRISE TRANSFORMATION	0.0625	0.0625	0.1733	0.0000	-1.0000
0	EXPERIMENTAL ECONOMICS	0.0938	0.0938	0.2219	0.0000	-1.0000
0	OPERATIONS MANAGEMENT	0.0625	0.0625	0.1733	0.0000	-1.0000
0	DIRECT CHANNEL	0.1250	0.1250	0.2599	0.0000	-1.0000
0	ADVERTISING	0.0625	0.0625	0.1733	0.0000	-1.0000
0	JOINT REPLENISHMENT	0.0625	0.0625	0.1733	0.0000	-1.0000
0	DUAL CHANNELS	0.0938	0.0938	0.2219	0.0000	-1.0000
0	INTERDISCIPLINARY	0.0625	0.0625	0.1733	0.0000	-1.0000
0	ORGANIZATIONAL BEHAVIOR	0.0625	0.0625	0.1733	0.0000	-1.0000
0	COALITION STRUCTURE CORE	0.0625	0.0625	0.1733	0.0000	-1.0000
0	NETWORK-CENTRIC ENTERPRISE	0.0625	0.0625	0.1733	0.0000	-1.0000
0	PRICING	0.1250	0.1250	0.2599	0.0000	-1.0000
0	ENTERPRISE NETWORKS	0.0625	0.0625	0.1733	0.0000	-1.0000
0	SINGLE-BID	0.0312	0.0312	0.1083	0.0000	-1.0000
0	PARITY	0.0312	0.0312	0.1083	0.0000	-1.0000
0	DOUBLE-BID	0.0312	0.0312	0.1083	0.0000	-1.0000
0	RESEARCH OPPORTUNITIES IN SUPPLY CHAIN MANAGEMENT	0.0625	0.0625	0.1733	0.0000	-1.0000
0	RFID	0.0625	0.0625	0.1733	0.0000	-1.0000
0	EMPIRICAL RESEARCH	0.0312	0.0312	0.1083	0.0000	-1.0000
0	SUPPLY CHAIN MANAGEMENT RESEARCH	0.0625	0.0625	0.1733	0.0000	-1.0000
0	FRACTIONAL PROGRAMMING	0.0625	0.0625	0.1733	0.0000	-1.0000
0	OM RESEARCH	0.0312	0.0312	0.1083	0.0000	-1.0000
0	LITERATURE REVIEW	0.0625	0.0625	0.1733	0.0000	-1.0000
0	RESERVE PRICE	0.0312	0.0312	0.1083	0.0000	-1.0000
0	INFORMATION TECHNOLOGY	0.0625	0.0625	0.1733	0.0000	-1.0000
