CommunityID	Keywords	TF	DF	TF-IDF	Sigma	TextRank
0	INTER-ORGANIZATIONAL COLLABORATION	0.0455	0.0455	0.1405	0.0000	0.0110
0	TRANSACTION COST THEORY	0.0455	0.0455	0.1405	0.0000	0.0090
0	GLOBAL OUTSOURCING STRATEGIES	0.0909	0.0909	0.2180	0.0000	0.0185
0	PRODUCT DEVELOPMENT	0.0909	0.0909	0.2180	0.0000	0.0149
0	BUSINESS PROCESS OUTSOURCING	0.0455	0.0455	0.1405	0.0000	0.0122
0	FDI	0.0455	0.0455	0.1405	0.0000	0.0172
0	FIRM BOUNDARY THEORY	0.0909	0.0909	0.2180	0.0000	0.0146
0	OUTSOURCING	0.5455	0.5455	0.3306	0.0000	0.0792
0	RELATIONSHIP COMMITMENT	0.0455	0.0455	0.1405	0.0000	0.0172
0	OFFSHORE SERVICES	0.0455	0.0455	0.1405	0.0000	0.0172
0	SUPPLY CHAIN MANAGEMENT	0.0909	0.0909	0.2180	0.0000	0.0146
0	EMPIRICAL RESEARCH	0.0455	0.0455	0.1405	0.0000	0.0172
0	CUSTOMER POWER	0.0455	0.0455	0.1405	0.0000	0.0172
0	RELATIONAL VIEW OF INTER-ORGANIZATIONAL COMPETITIVE ADVANTAGE	0.0909	0.0909	0.2180	0.0000	0.0146
0	AGENCY THEORY	0.0909	0.0909	0.2180	0.0000	0.0146
0	CONTROL	0.0455	0.0455	0.1405	0.0000	0.0172
0	CULTURE	0.0455	0.0455	0.1405	0.0000	0.0172
0	RETURNS MANAGEMENT	0.0455	0.0455	0.1405	0.0000	0.0172
0	QUALITY MANAGEMENT	0.0909	0.0909	0.2180	0.0000	0.0146
0	BUYER-SUPPLIER RELATIONSHIPS	0.0455	0.0455	0.1405	0.0000	0.0172
0	PSYCHOLOGICAL EXPERIMENT	0.0455	0.0455	0.1405	0.0000	0.0172
0	PERCEIVED SUPPLIER PERFORMANCE	0.0455	0.0455	0.1405	0.0000	0.0172
0	ORGANIZATIONAL CAPABILITIES	0.0909	0.0909	0.2180	0.0000	0.0146
0	OWNERSHIP	0.0455	0.0455	0.1405	0.0000	0.0172
0	SUPPLY CHAIN INTEGRATION	0.0909	0.0909	0.2180	0.0000	0.0149
0	PROJECT MANAGEMENT	0.0909	0.0909	0.2180	0.0000	0.0149
0	TRANSACTION COSTS	0.0455	0.0455	0.1405	0.0000	0.0172
0	SOFTWARE DEVELOPMENT	0.0909	0.0909	0.2180	0.0000	0.0149
0	EMERGING MARKETS	0.1364	0.1364	0.2717	0.0000	0.0287
0	GOVERNANCE CONTROL MECHANISMS	0.0455	0.0455	0.1405	0.0000	0.0122
0	MARKETING-OPERATIONS INTERFACE	0.0455	0.0455	0.1405	0.0000	0.0172
0	INTERNAL INTEGRATION	0.0455	0.0455	0.1405	0.0000	0.0172
0	PSYCHOLOGICAL CONTRACTS	0.0455	0.0455	0.1405	0.0000	0.0172
0	INTER-ORGANIZATIONAL POWER	0.1364	0.1364	0.2717	0.0000	0.0208
0	INTERFIRM SERVICE EXCHANGES	0.0455	0.0455	0.1405	0.0000	0.0172
0	EXTERNAL INTEGRATION	0.0455	0.0455	0.1405	0.0000	0.0172
0	CUSTOMER VALUE	0.0455	0.0455	0.1405	0.0000	0.0172
0	OPERATIONS STRATEGY	0.0455	0.0455	0.1405	0.0000	0.0110
0	CROSS-FUNCTIONAL INTEGRATION	0.0455	0.0455	0.1405	0.0000	0.0172
0	INTERNATIONAL/GLOBAL ISSUES	0.0455	0.0455	0.1405	0.0000	0.0172
0	FAIRNESS	0.0455	0.0455	0.1405	0.0000	0.0172
0	RESOURCE-BASED VIEW	0.0455	0.0455	0.1405	0.0000	0.0110
0	BPO INTEGRATION	0.0909	0.0909	0.2180	0.0000	0.0185
0	STRATEGIC SOURCING	0.0909	0.0909	0.2180	0.0000	0.0139
0	PRODUCTIVITY	0.0455	0.0455	0.1405	0.0000	0.0172
0	INTER-ORGANIZATIONAL CONTROL	0.1818	0.1818	0.3100	0.0000	0.0256
0	TYPE OF SERVICE EXCHANGE	0.0455	0.0455	0.1405	0.0000	0.0172
0	SERVICE OPERATIONS	0.0455	0.0455	0.1405	0.0000	0.0172
0	INTER-ORGANIZATIONAL COORDINATION	0.0909	0.0909	0.2180	0.0000	0.0136
0	ORGANISATIONAL BEHAVIOR	0.0455	0.0455	0.1405	0.0000	0.0172
0	OPPORTUNISM	0.0455	0.0455	0.1405	0.0000	0.0090
0	TRANSACTION COST ECONOMICS	0.0455	0.0455	0.1405	0.0000	0.0110
0	CHINA	0.0455	0.0455	0.1405	0.0000	0.0172
0	CASE/FIELD STUDY	0.0455	0.0455	0.1405	0.0000	0.0172
0	BUYERSUPPLIER RELATIONSHIPS	0.0455	0.0455	0.1405	0.0000	0.0122
0	INFORMATION TECHNOLOGY ENABLED SERVICES	0.0909	0.0909	0.2180	0.0000	0.0185
0	INVENTORIES	0.0455	0.0455	0.1405	0.0000	0.0172
0	BEHAVIORAL SUPPLY CHAIN MANAGEMENT	0.0455	0.0455	0.1405	0.0000	0.0172
