CommunityID	Keywords	TF	DF	TF-IDF	Sigma
0	PLATFORM STRATEGY	0.0909	0.0909	0.2180	0.0000
0	STRUCTURAL EQUATION MODELING	0.0909	0.0909	0.2180	0.0000
0	ROLE CHANGE	0.0909	0.0909	0.2180	0.0000
0	PRODUCT DEVELOPMENT	0.3636	0.3636	0.3679	0.0000
0	MANUFACTURING STRATEGY PROCESS	0.0909	0.0909	0.2180	0.0000
0	CONSTRUCTS	0.0455	0.0455	0.1405	0.0000
0	ORGANIZATIONAL STRUCTURE	0.0455	0.0455	0.1405	0.0000
0	RELATIONSHIP COMMITMENT	0.0455	0.0455	0.1405	0.0000
0	TEAMS	0.0909	0.0909	0.2180	0.0000
0	ENVIRONMENT	0.0909	0.0909	0.2180	0.0000
0	EMPIRICAL RESEARCH	0.1364	0.1364	0.2717	0.0000
0	OPERATIONS PERFORMANCE	0.0455	0.0455	0.1405	0.0000
0	MARKETING/MANUFACTURING INTERFACE	0.0909	0.0909	0.2180	0.0000
0	COMPETITIVE CAPABILITIES	0.1364	0.1364	0.2717	0.0000
0	DESIGN COORDINATION	0.0455	0.0455	0.1405	0.0000
0	TIME-BASED MANUFACTURING	0.0455	0.0455	0.1405	0.0000
0	PLANT PERFORMANCE	0.0455	0.0455	0.1405	0.0000
0	3-DCE	0.0455	0.0455	0.1405	0.0000
0	AGILITY	0.0909	0.0909	0.2180	0.0000
0	SOCIAL CAPITAL	0.0455	0.0455	0.1405	0.0000
0	3D-CE	0.0455	0.0455	0.1405	0.0000
0	MEASUREMENT AND METHODOLOGY	0.0455	0.0455	0.1405	0.0000
0	SCALE DEVELOPMENT	0.0455	0.0455	0.1405	0.0000
0	STATISTICAL ANALYSIS	0.0455	0.0455	0.1405	0.0000
0	OWNERSHIP	0.0455	0.0455	0.1405	0.0000
0	SUPPLY CHAIN INTEGRATION	0.0909	0.0909	0.2180	0.0000
0	COMPUTER-AIDED DESIGN	0.0455	0.0455	0.1405	0.0000
0	PROJECT MANAGEMENT	0.0455	0.0455	0.1405	0.0000
0	DYADIC DATA	0.0455	0.0455	0.1405	0.0000
0	PRODUCT-PROCESS-SUPPLY CHAIN DESIGN	0.0909	0.0909	0.2180	0.0000
0	MULTI-STAKEHOLDER CONSTRUCTS	0.0455	0.0455	0.1405	0.0000
0	INTERNAL INTEGRATION	0.0455	0.0455	0.1405	0.0000
0	BUYER-SUPPLIER RELATIONSHIPS	0.0455	0.0455	0.1405	0.0000
0	ORGANIZATIONAL PERFORMANCE	0.0455	0.0455	0.1405	0.0000
0	EXTERNAL INTEGRATION	0.0455	0.0455	0.1405	0.0000
0	DESIGN ENGINEERS	0.0909	0.0909	0.2180	0.0000
0	SINGLE RATER BIAS	0.0455	0.0455	0.1405	0.0000
0	INSTRUMENT DEVELOPMENT	0.0455	0.0455	0.1405	0.0000
0	CONCURRENT ENGINEERING	0.0455	0.0455	0.1405	0.0000
0	AGILE MANUFACTURING	0.0455	0.0455	0.1405	0.0000
0	SUPPLY MANAGEMENT PRACTICES	0.0909	0.0909	0.2180	0.0000
0	CROSS-PREDICTION	0.0455	0.0455	0.1405	0.0000
0	SOCIAL NETWORK THEORY	0.0909	0.0909	0.2180	0.0000
0	INFORMATION TECHNOLOGY	0.0455	0.0455	0.1405	0.0000
0	JIT SYSTEMS	0.0455	0.0455	0.1405	0.0000
0	SUPPLY CHAIN MANAGEMENT	0.1364	0.1364	0.2717	0.0000
0	BEHAVIORAL EXPERIMENT	0.0455	0.0455	0.1405	0.0000
0	PRODUCT ARCHITECTURE	0.0455	0.0455	0.1405	0.0000
0	MODULARITY	0.0455	0.0455	0.1405	0.0000
0	MEASUREMENT ERROR	0.0455	0.0455	0.1405	0.0000
0	DISRUPTION RISK MITIGATION AND RESPONSE	0.0909	0.0909	0.2180	0.0000
0	FLEXIBILITY	0.0909	0.0909	0.2180	0.0000
0	MEASUREMENT/METHODOLOGY	0.0909	0.0909	0.2180	0.0000
0	CHINA	0.0455	0.0455	0.1405	0.0000
0	LEAN PRODUCTION	0.0455	0.0455	0.1405	0.0000
0	RESOURCE-BASED VIEW	0.0909	0.0909	0.2180	0.0000
0	CONFIRMATORY FACTOR ANALYSIS	0.0455	0.0455	0.1405	0.0000
0	ORGANIZATIONAL KNOWLEDGE	0.0909	0.0909	0.2180	0.0000
