CommunityID	Keywords	TF	DF	TF-IDF	Sigma	TextRank
0	CUSTOMER SATISFACTION	0.0526	0.0847	0.1299	-0.7108	0.0090
0	E-PROCUREMENT	0.0263	0.0169	0.1073	0.4473	0.0058
0	PARALLEL OR DUAL SOURCING	0.0263	0.0169	0.1073	0.4473	0.0055
0	SUPPLY CHAIN MANAGEMENT	0.1053	0.0678	0.2833	0.9187	0.0213
0	SUPPLY DISRUPTIONS	0.0263	0.0169	0.1073	0.4473	0.0059
0	ELECTRONIC MARKET	0.0263	0.0169	0.1073	0.4473	0.0071
0	DEMAND EFFORT	0.0526	0.0339	0.1781	0.6381	0.0072
0	PROCUREMENT STRATEGIES	0.0789	0.0678	0.2125	0.2734	0.0140
0	TECHNOLOGY AS AUTOMATION VERSUS LABOR ENHANCING	0.0263	0.0169	0.1073	0.4473	0.0085
0	INFORMATION FEEDBACK	0.0263	0.0169	0.1073	0.4473	0.0062
0	EQUILIBRIUM	0.0263	0.0169	0.1073	0.4473	0.0067
0	SUPPLY CONTRACTS	0.1053	0.0678	0.2833	0.9187	0.0160
0	MULTI-ATTRIBUTE AUCTIONS	0.0526	0.0339	0.1781	0.6381	0.0083
0	SUPPLY RISK	0.0526	0.0339	0.1781	0.6381	0.0090
0	MULTISUPPLIER SOURCING	0.0263	0.0169	0.1073	0.4473	0.0063
0	PROCUREMENT AUCTION	0.0789	0.1017	0.1805	-0.4639	0.0092
0	COLLABORATION AND COORDINATION	0.0526	0.0847	0.1299	-0.7108	0.0090
0	INTERDEPENDENT VALUES	0.0526	0.0339	0.1781	0.6381	0.0072
0	FEEDBACK	0.0526	0.0678	0.1416	-0.3719	0.0083
0	CUSTOMER CONTACT	0.0263	0.0169	0.1073	0.4473	0.0062
0	DISRUPTION MANAGEMENT	0.0263	0.0169	0.1073	0.4473	0.0063
0	COMBINATORIAL AUCTIONS	0.0263	0.0169	0.1073	0.4473	0.0062
0	INTEGER L-SHAPED METHOD	0.0263	0.0169	0.1073	0.4473	0.0090
0	DISTRIBUTED DECISIONMAKING SUBMISSIONS	0.0263	0.0169	0.1073	0.4473	0.0090
0	RFID	0.0526	0.1017	0.1203	-1.0007	0.0090
0	SUPPLY UNCERTAINTY	0.0263	0.0169	0.1073	0.4473	0.0067
0	E-COMMERCE	0.0263	0.0169	0.1073	0.4473	0.0071
0	REVERSE AUCTIONS	0.0526	0.0339	0.1781	0.6381	0.0083
0	LEARNING AND KNOWLEDGE MANAGEMENT	0.0263	0.0169	0.1073	0.4473	0.0085
0	PULL	0.0526	0.0339	0.1781	0.6381	0.0080
0	DUAL SOURCING	0.0263	0.0169	0.1073	0.4473	0.0067
0	OPPORTUNITY EVALUATION	0.0263	0.0169	0.1073	0.4473	0.0090
0	INTERNET SERVICE DELIVERY SYSTEMS	0.0263	0.0169	0.1073	0.4473	0.0084
0	MECHANISM DESIGN	0.1316	0.1356	0.2629	-0.0723	0.0211
0	B2B E-COMMERCE	0.0263	0.0169	0.1073	0.4473	0.0084
0	TECHNOLOGY ACCEPTANCE	0.0263	0.0169	0.1073	0.4473	0.0062
0	ELECTRONIC MARKETS	0.0526	0.0847	0.1299	-0.7108	0.0080
0	COLLABORATIVE PLANNING	0.0263	0.0169	0.1073	0.4473	0.0090
0	SERVICE OPERATIONS STRATEGY	0.0263	0.0169	0.1073	0.4473	0.0084
0	TASK ASSIGNMENT	0.0263	0.0169	0.1073	0.4473	0.0062
0	PROCUREMENT	0.2105	0.1525	0.3959	0.9941	0.0334
0	QUANTITY LEADERSHIP	0.0263	0.0169	0.1073	0.4473	0.0063
0	RANDOM YIELD	0.0526	0.0339	0.1781	0.6381	0.0119
0	INVESTMENT	0.0263	0.0169	0.1073	0.4473	0.0055
0	AND TECHNOLOGY ADOPTION	0.0263	0.0169	0.1073	0.4473	0.0085
0	LOGISTIC REGRESSION ANALYSIS	0.0263	0.0169	0.1073	0.4473	0.0084
0	EXPERIMENTAL ECONOMICS	0.0526	0.0339	0.1781	0.6381	0.0083
0	SUPPLIER DIVERSIFICATION	0.0263	0.0169	0.1073	0.4473	0.0063
0	BIDDING	0.0526	0.0339	0.1781	0.6381	0.0083
0	QUALITY	0.0526	0.0339	0.1781	0.6381	0.0106
0	ENTREPRENEURIAL OPERATIONS	0.0263	0.0169	0.1073	0.4473	0.0090
0	VENDOR SELECTION	0.0263	0.0169	0.1073	0.4473	0.0071
0	OUTSOURCING	0.1053	0.0847	0.2598	0.4541	0.0186
0	RANK	0.0526	0.0678	0.1416	-0.3719	0.0083
0	INFORMATION ASYMMETRY	0.1579	0.1525	0.2969	0.0918	0.0187
0	OPERATIONAL ENTREPRENEURSHIP	0.0263	0.0169	0.1073	0.4473	0.0090
0	FLUID MODELS	0.0263	0.0678	0.0708	-1.0171	0.0090
0	AUDITING	0.0789	0.1017	0.1805	-0.4639	0.0092
0	PROCUREMENT OPERATIONS	0.0526	0.0847	0.1299	-0.7108	0.0080
0	OPEN SOURCE SOFTWARE DEVELOPMENT	0.0263	0.0169	0.1073	0.4473	0.0085
0	DYNAMIC OPTIMIZATION	0.0263	0.0678	0.0708	-1.0171	0.0090
0	CAPACITY	0.0263	0.0678	0.0708	-1.0171	0.0090
0	ASYMMETRIC INFORMATION	0.0526	0.0339	0.1781	0.6381	0.0094
0	SUPPLIER RELATIONSHIP	0.0263	0.0169	0.1073	0.4473	0.0060
0	INCOMPLETE INFORMATION	0.0263	0.0169	0.1073	0.4473	0.0062
0	COST INFORMATION	0.0263	0.0169	0.1073	0.4473	0.0053
0	SOURCING	0.0789	0.0508	0.2352	0.7885	0.0149
0	E-SERVICES	0.0526	0.0339	0.1781	0.6381	0.0157
0	PUSH	0.0526	0.0339	0.1781	0.6381	0.0080
0	REVENUE MANAGEMENT	0.0263	0.0678	0.0708	-1.0171	0.0090
0	BUSINESS FAILURE	0.0263	0.0169	0.1073	0.4473	0.0084
0	GAME THEORY	0.0263	0.0169	0.1073	0.4473	0.0053
0	COMPETITIVE CM	0.0263	0.0169	0.1073	0.4473	0.0063
0	TECHNOLOGY IMPLEMENTATION	0.0263	0.0169	0.1073	0.4473	0.0085
0	ENABLERS AND BARRIERS	0.0526	0.0847	0.1299	-0.7108	0.0090
0	INVENTORY MANAGEMENT	0.0263	0.0169	0.1073	0.4473	0.0058
0	INVENTORY MODELS	0.0263	0.0169	0.1073	0.4473	0.0050
0	SUPPLY CHAIN	0.1053	0.0847	0.2598	0.4541	0.0146
0	NEWSVENDOR	0.0263	0.0169	0.1073	0.4473	0.0063
0	E-BUSINESS	0.0526	0.0847	0.1299	-0.7108	0.0090
0	PURCHASE PERFORMANCE	0.0526	0.0508	0.1568	0.0501	0.0092
0	PROCUREMENT AUCTIONS	0.1053	0.1017	0.2406	0.0728	0.0154
0	ENVIRONMENTAL CONDITIONS	0.0526	0.0508	0.1568	0.0501	0.0092
0	AUCTIONS	0.1842	0.1695	0.3270	0.2418	0.0243
0	INNOVATION	0.0263	0.0169	0.1073	0.4473	0.0085
0	DEFAULT CORRELATION	0.0263	0.0169	0.1073	0.4473	0.0059
0	SUPPLY CHAIN COMPETITION	0.0263	0.0678	0.0708	-1.0171	0.0090
0	LABORATORY EXPERIMENTS	0.0526	0.0678	0.1416	-0.3719	0.0083
0	INDUSTRIAL BUYER BEHAVIOR	0.0526	0.0508	0.1568	0.0501	0.0092
0	COMPETITION	0.0263	0.0169	0.1073	0.4473	0.0059
0	MULTIPLE SOURCING	0.0263	0.0169	0.1073	0.4473	0.0071
0	COURNOT COMPETITION	0.0526	0.0339	0.1781	0.6381	0.0119
0	SURVEY RESEARCH	0.0526	0.0508	0.1568	0.0501	0.0092
0	CAPACITY ALLOCATION	0.0263	0.0169	0.1073	0.4473	0.0071
0	BEHAVIORAL GAME THEORY	0.0526	0.0339	0.1781	0.6381	0.0083
0	DIFFUSION	0.0263	0.0169	0.1073	0.4473	0.0085
0	OPPORTUNITY RECOGNITION	0.0263	0.0169	0.1073	0.4473	0.0090
0	USER PERCEPTIONS	0.0263	0.0169	0.1073	0.4473	0.0062
0	AUCTION	0.0263	0.0169	0.1073	0.4473	0.0060
0	OPPORTUNITY EXPLOITATION	0.0263	0.0169	0.1073	0.4473	0.0090
0	COMPETITION AND CONFLICT	0.0526	0.0847	0.1299	-0.7108	0.0090
0	PARETO-OPTIMALITY	0.0263	0.0169	0.1073	0.4473	0.0090
0	SUPPLY CHAIN COORDINATION	0.0789	0.1017	0.1805	-0.4639	0.0092
0	E-AUCTION	0.0526	0.0847	0.1299	-0.7108	0.0090
0	PRICE MASKING	0.0526	0.0508	0.1568	0.0501	0.0084
0	CONTRACT MANUFACTURING	0.0263	0.0169	0.1073	0.4473	0.0063
0	EQUILIBRIUM PRICING	0.0263	0.0169	0.1073	0.4473	0.0059
0	CALL CENTERS	0.0263	0.0169	0.1073	0.4473	0.0062
0	SUPPLIER SELECTION	0.0263	0.0169	0.1073	0.4473	0.0057
0	BIDDING BEHAVIOR	0.0526	0.0678	0.1416	-0.3719	0.0083
0	RESILIENT SUPPLY CHAINS	0.0263	0.0169	0.1073	0.4473	0.0059
1	SINGLE-BID	0.0476	0.0169	0.1942	1.0888	0.0185
1	CUSTOMER SATISFACTION	0.1429	0.0847	0.3526	0.9562	0.0207
1	DOUBLE-BID	0.0476	0.0169	0.1942	1.0888	0.0185
1	RFID	0.1905	0.1017	0.4354	1.3461	0.0307
1	OUTSOURCING	0.0476	0.0847	0.1175	-0.6109	0.0185
1	RANK	0.0952	0.0678	0.2563	0.5002	0.0185
1	INFORMATION ASYMMETRY	0.1429	0.1525	0.2686	-0.1234	0.0185
1	E-AUCTION	0.1429	0.0847	0.3526	0.9562	0.0207
1	PROCUREMENT STRATEGIES	0.0476	0.0678	0.1282	-0.3678	0.0185
1	FLUID MODELS	0.1429	0.0678	0.3845	1.3682	0.0185
1	AUDITING	0.1429	0.1017	0.3265	0.6241	0.0185
1	LABORATORY EXPERIMENTS	0.0952	0.0678	0.2563	0.5002	0.0185
1	UNIT-PRICE AUCTIONS	0.0952	0.0339	0.3223	1.5533	0.0185
1	PLANT PERFORMANCE	0.0476	0.0169	0.1942	1.0888	0.0185
1	DYNAMIC OPTIMIZATION	0.1429	0.0678	0.3845	1.3682	0.0185
1	SUPPORT PROCESS OUTSOURCING	0.0476	0.0169	0.1942	1.0888	0.0185
1	BENEFITS	0.0476	0.0169	0.1942	1.0888	0.0122
1	INDUSTRIAL BUYER BEHAVIOR	0.0476	0.0508	0.1419	-0.0673	0.0185
1	PROCUREMENT AUCTION	0.1429	0.1017	0.3265	0.6241	0.0185
1	COLLABORATION AND COORDINATION	0.1429	0.0847	0.3526	0.9562	0.0207
1	RESERVE PRICE	0.0476	0.0169	0.1942	1.0888	0.0185
1	REVENUE MANAGEMENT	0.1429	0.0678	0.3845	1.3682	0.0185
1	SUPPLY CHAIN COMPETITION	0.1429	0.0678	0.3845	1.3682	0.0185
1	KEYWORD AUCTIONS	0.0952	0.0339	0.3223	1.5533	0.0185
1	INFORMATION TECHNOLOGY	0.0476	0.0169	0.1942	1.0888	0.0122
1	MECHANISM DESIGN	0.1429	0.1356	0.2854	0.0972	0.0185
1	BUSINESS VALUE OF INFORMATION TECHNOLOGY	0.0476	0.0169	0.1942	1.0888	0.0185
1	PRODUCTION PROCESS OUTSOURCING	0.0476	0.0169	0.1942	1.0888	0.0185
1	FEEDBACK	0.0952	0.0678	0.2563	0.5002	0.0185
1	ELECTRONIC MARKETS	0.1429	0.0847	0.3526	0.9562	0.0185
1	IT INFRASTRUCTURE	0.0476	0.0169	0.1942	1.0888	0.0185
1	PROFITABILITY	0.0476	0.0169	0.1942	1.0888	0.0185
1	COMPETITION AND CONFLICT	0.1429	0.0847	0.3526	0.9562	0.0207
1	PROCUREMENT	0.0476	0.1525	0.0895	-1.3373	0.0185
1	DUAL-CHANNEL	0.0476	0.0169	0.1942	1.0888	0.0185
1	SUPPLY CHAIN COORDINATION	0.1429	0.1017	0.3265	0.6241	0.0185
1	ENABLERS AND BARRIERS	0.1429	0.0847	0.3526	0.9562	0.0207
1	CAPACITY	0.1429	0.0678	0.3845	1.3682	0.0185
1	PROCUREMENT OPERATIONS	0.1429	0.0847	0.3526	0.9562	0.0185
1	SURVEY RESEARCH	0.0476	0.0508	0.1419	-0.0673	0.0185
1	PRICE MASKING	0.0476	0.0508	0.1419	-0.0673	0.0185
1	OUTSOURCING STRATEGY	0.0476	0.0169	0.1942	1.0888	0.0185
1	SUPPLY CHAIN	0.0476	0.0847	0.1175	-0.6109	0.0185
1	PERFORMANCE-BASED PRICING	0.0952	0.0339	0.3223	1.5533	0.0185
1	NAME-YOUR-OWN-PRICE (NYOP)	0.0476	0.0169	0.1942	1.0888	0.0185
1	E-BUSINESS	0.1429	0.0847	0.3526	0.9562	0.0207
1	PURCHASE PERFORMANCE	0.0476	0.0508	0.1419	-0.0673	0.0185
1	PROCUREMENT AUCTIONS	0.0952	0.1017	0.2177	-0.0979	0.0185
1	BIDDING BEHAVIOR	0.0952	0.0678	0.2563	0.5002	0.0185
1	ENVIRONMENTAL CONDITIONS	0.0476	0.0508	0.1419	-0.0673	0.0185
1	ADOPTION	0.0476	0.0169	0.1942	1.0888	0.0122
1	AUCTIONS	0.1429	0.1695	0.2536	-0.3253	0.0185
1	COMMITMENT	0.0952	0.0339	0.3223	1.5533	0.0185
1	BUSINESS VALUE OF IT	0.0476	0.0169	0.1942	1.0888	0.0122
