CommunityID	Keywords	TF	DF	TF-IDF	Sigma	TextRank
0	ECO-LOGISTICS	0.1333	0.1333	0.2687	0.0000	-1.0000
0	SERVICE OPERATIONS	0.0667	0.0667	0.1805	0.0000	-1.0000
0	SERVICE	0.1333	0.1333	0.2687	0.0000	-1.0000
0	TQM	0.0667	0.0667	0.1805	0.0000	-1.0000
0	ISO 9000	0.0667	0.0667	0.1805	0.0000	-1.0000
0	LOYALTY	0.0667	0.0667	0.1805	0.0000	-1.0000
0	ARCHIVAL RESEARCH	0.1333	0.1333	0.2687	0.0000	-1.0000
0	EMPIRICAL RESEARCH	0.1333	0.1333	0.2687	0.0000	-1.0000
0	ENVIRONMENTAL MANAGEMENT AND OPERATIONS	0.1333	0.1333	0.2687	0.0000	-1.0000
0	CROSS-FUNCTIONAL INTERFACE	0.1333	0.1333	0.2687	0.0000	-1.0000
0	RETAILERS	0.0667	0.0667	0.1805	0.0000	-1.0000
0	SATISFACTION	0.0667	0.0667	0.1805	0.0000	-1.0000
0	ISO 14000 CERTIFICATION	0.0667	0.0667	0.1805	0.0000	-1.0000
0	GREEN PRODUCTS	0.1333	0.1333	0.2687	0.0000	-1.0000
0	ORDER FULFILLMENT	0.0667	0.0667	0.1805	0.0000	-1.0000
0	IMPLEMENTATION	0.1333	0.1333	0.2687	0.0000	-1.0000
0	BALDRIGE	0.0667	0.0667	0.1805	0.0000	-1.0000
0	QUALITY MANAGEMENT	0.1333	0.1333	0.2687	0.0000	-1.0000
0	NETWORK-CENTRIC ENTERPRISE	0.1333	0.1333	0.2687	0.0000	-1.0000
0	ENTERPRISE NETWORKS	0.1333	0.1333	0.2687	0.0000	-1.0000
0	MULTIVARIATE STATISTICAL TECHNIQUES	0.1333	0.1333	0.2687	0.0000	-1.0000
0	SUPPLY MANAGEMENT	0.0667	0.0667	0.1805	0.0000	-1.0000
0	CORPORATE SUSTAINABILITY	0.0667	0.0667	0.1805	0.0000	-1.0000
0	ENVIRONMENTAL MANAGEMENT	0.1333	0.1333	0.2687	0.0000	-1.0000
0	NEW PRODUCT DEVELOPMENT	0.0667	0.0667	0.1805	0.0000	-1.0000
0	SURVEY RESEARCH	0.1333	0.1333	0.2687	0.0000	-1.0000
0	MANUFACTURING	0.1333	0.1333	0.2687	0.0000	-1.0000
0	INFORMATION TECHNOLOGY	0.1333	0.1333	0.2687	0.0000	-1.0000
0	QUESTIONNAIRES/SURVEYS/INTERVIEWS	0.1333	0.1333	0.2687	0.0000	-1.0000
0	LEAN AND GREEN OPERATIONS	0.1333	0.1333	0.2687	0.0000	-1.0000
0	CLOSED-LOOP SUPPLY CHAINS	0.1333	0.1333	0.2687	0.0000	-1.0000
0	ENTERPRISE TRANSFORMATION	0.1333	0.1333	0.2687	0.0000	-1.0000
0	INTERORGANIZATIONAL	0.1333	0.1333	0.2687	0.0000	-1.0000
0	THEORY VERIFYING	0.1333	0.1333	0.2687	0.0000	-1.0000
0	SUSTAINABILITY	0.1333	0.1333	0.2687	0.0000	-1.0000
0	EXPLORATORY DATA ANALYSIS	0.0667	0.0667	0.1805	0.0000	-1.0000
0	COMPETITIVE ADVANTAGE	0.1333	0.1333	0.2687	0.0000	-1.0000
0	LABORATORY RESEARCH	0.1333	0.1333	0.2687	0.0000	-1.0000
0	PERFORMANCE	0.0667	0.0667	0.1805	0.0000	-1.0000
0	EVENT STUDY	0.0667	0.0667	0.1805	0.0000	-1.0000
0	FIELD RESEARCH	0.1333	0.1333	0.2687	0.0000	-1.0000
0	AUTOMOBILE INDUSTRY	0.0667	0.0667	0.1805	0.0000	-1.0000
0	SUPPLY CHAIN MANAGEMENT	0.1333	0.1333	0.2687	0.0000	-1.0000
0	GRAPHICAL DISPLAYS	0.0667	0.0667	0.1805	0.0000	-1.0000
0	QUALITATIVE RESEARCH	0.1333	0.1333	0.2687	0.0000	-1.0000
0	INTERDISCIPLINARY	0.1333	0.1333	0.2687	0.0000	-1.0000
0	APPLICATIONS	0.1333	0.1333	0.2687	0.0000	-1.0000
0	SOCIAL RESPONSIBILITY	0.0667	0.0667	0.1805	0.0000	-1.0000
0	RESEARCH AGENDA	0.1333	0.1333	0.2687	0.0000	-1.0000
0	ORGANIZATIONAL BEHAVIOR	0.1333	0.1333	0.2687	0.0000	-1.0000
0	OPERATIONS MANAGEMENT	0.1333	0.1333	0.2687	0.0000	-1.0000
0	SUSTAINABLE OPERATIONS	0.1333	0.1333	0.2687	0.0000	-1.0000
0	CASE STUDY	0.1333	0.1333	0.2687	0.0000	-1.0000
0	GREEN INNOVATION	0.0667	0.0667	0.1805	0.0000	-1.0000
0	BUSINESS PROCESSES	0.1333	0.1333	0.2687	0.0000	-1.0000
0	ENVIRONMENTAL ISSUES	0.2000	0.2000	0.3219	0.0000	-1.0000
0	THEORY BUILDING	0.1333	0.1333	0.2687	0.0000	-1.0000
0	INTERNATIONAL/GLOBAL ISSUES	0.0667	0.0667	0.1805	0.0000	-1.0000
