CommunityID	Keywords	TF	DF	TF-IDF	Sigma	TextRank
0	CUSTOMER SATISFACTION	0.1548	0.0929	0.3677	1.9511	0.0263
0	SUPPLY CHAIN STRATEGY	0.0119	0.0064	0.0601	0.6310	0.0056
0	E-PROCUREMENT	0.0238	0.0064	0.1202	1.9982	0.0049
0	SUPPLY CHAIN MANAGEMENT	0.1429	0.0801	0.3606	2.1176	0.0204
0	ORDER FULFILLMENT GLITCH	0.0595	0.0160	0.2460	3.1748	0.0076
0	PRODUCT VARIETY	0.0119	0.0032	0.0684	1.4106	0.0035
0	FAILURE RECOVERY	0.0119	0.0096	0.0553	0.2150	0.0031
0	TELECOMMUNICATIONS	0.0119	0.0032	0.0684	1.4106	0.0037
0	SERVICES MANAGEMENT THEORY	0.0119	0.0192	0.0470	-0.4889	0.0029
0	INCREMENTAL PRODUCT INNOVATION	0.0119	0.0032	0.0684	1.4106	0.0068
0	ONLINE FIELD STUDY	0.0238	0.0096	0.1106	1.3331	0.0052
0	ORDER FULFILLMENT	0.0952	0.0256	0.3489	4.0356	0.0134
0	QUALITY MANAGEMENT	0.0476	0.0288	0.1688	1.0280	0.0085
0	TRANSACTION COST	0.0595	0.0160	0.2460	3.1748	0.0077
0	B2B CAPABILITIES	0.0119	0.0128	0.0519	-0.0746	0.0054
0	TRANSACTION COSTS	0.0476	0.0192	0.1882	1.8945	0.0062
0	LOGISTICS	0.1071	0.0321	0.3686	3.9073	0.0130
0	SEEMINGLY UNRELATED REGRESSION (SUR)	0.0595	0.0160	0.2460	3.1748	0.0077
0	REGRESSION ANALYSIS	0.0476	0.0128	0.2075	2.8350	0.0059
0	TRANSACTION COST ANALYSIS	0.0119	0.0032	0.0684	1.4106	0.0045
0	ARCHIVAL DATA	0.1190	0.0321	0.4096	4.5268	0.0144
0	HEALTHCARE OPERATIONS	0.0119	0.0096	0.0553	0.2150	0.0023
0	SERVICE SCIENCE	0.0119	0.0192	0.0470	-0.4889	0.0045
0	RADICAL PRODUCT INNOVATION	0.0119	0.0032	0.0684	1.4106	0.0068
0	LOGISTICS/DISTRIBUTION	0.1071	0.0641	0.2944	1.6105	0.0124
0	SERVICE FAILURE	0.0595	0.0224	0.2260	2.2952	0.0076
0	RETAIL CHANNEL INTEGRATION	0.0119	0.0128	0.0519	-0.0746	0.0045
0	SERVICE MANAGEMENT	0.0119	0.0256	0.0436	-0.7965	0.0036
0	OPEN SERVICE INNOVATION	0.0119	0.0032	0.0684	1.4106	0.0068
0	INFORMATION PROCESSING THEORY	0.0119	0.0032	0.0684	1.4106	0.0042
0	RESOURCE-BASED VIEW (RBV)	0.0119	0.0032	0.0684	1.4106	0.0042
0	SERVICE COPRODUCTION	0.0238	0.0321	0.0819	-0.4289	0.0068
0	FIRM PROFITABILITY	0.0119	0.0032	0.0684	1.4106	0.0032
