CommunityID	Keywords	TF	DF	TF-IDF	Sigma	TextRank
0	PRODUCT DEVELOPMENT	0.0274	0.0172	0.1112	0.6666	-1.0000
0	INDUSTRIALIZATION	0.0548	0.0431	0.1723	0.4918	-1.0000
0	SUPPLY CHAIN MANAGEMENT	0.0548	0.0345	0.1845	0.9511	-1.0000
0	OPERATIONAL PERFORMANCE IMPROVEMENT	0.0137	0.0086	0.0651	0.4693	-1.0000
0	LITERATURE REVIEW	0.0548	0.0431	0.1723	0.4918	-1.0000
0	STRATEGIC HUMAN RESOURCE MANAGEMENT	0.0137	0.0086	0.0651	0.4693	-1.0000
0	CUSTOMER	0.0137	0.0086	0.0651	0.4693	-1.0000
0	VARIABILITY	0.0411	0.0259	0.1502	0.8200	-1.0000
0	SYSTEM DYNAMICS	0.0137	0.0086	0.0651	0.4693	-1.0000
0	INTERNATIONAL OPERATIONS	0.0548	0.0431	0.1723	0.4918	-1.0000
0	TRADEOFFS	0.0137	0.0086	0.0651	0.4693	-1.0000
0	QUALITY MANAGEMENT	0.0137	0.0086	0.0651	0.4693	-1.0000
0	RELIABILITY	0.0137	0.0086	0.0651	0.4693	-1.0000
0	SCALE DEVELOPMENT	0.0137	0.0086	0.0651	0.4693	-1.0000
0	BIG IDEAS	0.0137	0.0086	0.0651	0.4693	-1.0000
0	OPERATING TRADE-OFFS	0.0411	0.0259	0.1502	0.8200	-1.0000
0	SOM CONTENT	0.0822	0.0948	0.1936	-0.3685	-1.0000
0	OPERATIONS MANAGEMENT	0.0822	0.1638	0.1487	-1.8839	-1.0000
0	METHODOLOGY	0.0411	0.0603	0.1154	-0.6907	-1.0000
0	LABORATORY RESEARCH	0.0548	0.0345	0.1845	0.9511	-1.0000
0	RELEVANCE	0.0685	0.0776	0.1751	-0.2904	-1.0000
0	OPERATIONS MANAGEMENT RESEARCH	0.1233	0.0948	0.2904	0.8300	-1.0000
0	QUALITATIVE RESEARCH	0.0548	0.0345	0.1845	0.9511	-1.0000
0	RESEARCH METHODS	0.1370	0.1466	0.2631	-0.2311	-1.0000
0	INTERDISCIPLINARY	0.0411	0.0259	0.1502	0.8200	-1.0000
0	CULTURE	0.0137	0.0086	0.0651	0.4693	-1.0000
0	SUPPLY-CHAIN MANAGEMENT	0.0137	0.0086	0.0651	0.4693	-1.0000
0	INTERNET	0.0274	0.0172	0.1112	0.6666	-1.0000
0	RESEARCH PRODUCTIVITY	0.0137	0.0086	0.0651	0.4693	-1.0000
0	SERVICE QUALITY	0.0137	0.0086	0.0651	0.4693	-1.0000
0	THEORY OF PERFORMANCE FRONTIERS	0.0137	0.0086	0.0651	0.4693	-1.0000
0	PROCESS DESIGN	0.0411	0.0259	0.1502	0.8200	-1.0000
0	SURVEY-BASED RESEARCH	0.0137	0.0086	0.0651	0.4693	-1.0000
0	EMPIRICAL RESEARCH	0.1781	0.1379	0.3528	0.9948	-1.0000
0	SURVEY RESEARCH METHODOLOGY	0.0137	0.0086	0.0651	0.4693	-1.0000
0	PRINT	0.0274	0.0172	0.1112	0.6666	-1.0000
0	REPURCHASE INTENTION	0.0137	0.0086	0.0651	0.4693	-1.0000
0	NEW SERVICE DEVELOPMENT	0.0137	0.0086	0.0651	0.4693	-1.0000
0	MARKETING	0.0137	0.0086	0.0651	0.4693	-1.0000
0	MARKETING/OPERATIONS INTERFACE	0.0274	0.0172	0.1112	0.6666	-1.0000
0	WORK MEASUREMENT	0.0137	0.0086	0.0651	0.4693	-1.0000
0	FRAMEWORK	0.0548	0.0431	0.1723	0.4918	-1.0000
0	MEASUREMENT	0.0411	0.0259	0.1502	0.8200	-1.0000
0	MANUFACTURING	0.0548	0.0345	0.1845	0.9511	-1.0000
0	INDUCTIVE	0.0548	0.0517	0.1623	0.1185	-1.0000
0	INFORMATION TECHNOLOGY	0.0137	0.0086	0.0651	0.4693	-1.0000
