CommunityID	Keywords	TF	DF	TF-IDF	Sigma	TextRank
0	FINANCIAL ANALYSIS	0.0132	0.0071	0.0650	0.8806	-1.0000
0	PRODUCT DEVELOPMENT	0.0329	0.0393	0.1065	-0.4056	-1.0000
0	FACILITY NETWORK DESIGN	0.0132	0.0071	0.0650	0.8806	-1.0000
0	UNCERTAINTY	0.0263	0.0179	0.1059	0.7875	-1.0000
0	SUPPLY CHAIN MANAGEMENT	0.1776	0.1607	0.3247	0.5679	-1.0000
0	DEMAND	0.0066	0.0036	0.0371	0.6216	-1.0000
0	ORGANIZATION DESIGN	0.0066	0.0036	0.0371	0.6216	-1.0000
0	SUPPORT PROCESS OUTSOURCING	0.0132	0.0071	0.0650	0.8806	-1.0000
0	ENTERPRISE RESOURCE PLANNING (ERP)	0.0132	0.0071	0.0650	0.8806	-1.0000
0	INFORMATION TECHNOLOGY ADOPTION	0.0197	0.0107	0.0895	1.0805	-1.0000
0	TIME-TO-MARKET	0.0066	0.0071	0.0325	-0.0826	-1.0000
0	SUPPLY MANAGEMENT	0.0066	0.0036	0.0371	0.6216	-1.0000
0	INDUSTRY EXCHANGE	0.0066	0.0071	0.0325	-0.0826	-1.0000
0	SUPPLY RISK	0.0395	0.0214	0.1517	1.5363	-1.0000
0	PRODUCTION	0.0066	0.0036	0.0371	0.6216	-1.0000
0	SOCIAL DILEMMAS	0.0066	0.0036	0.0371	0.6216	-1.0000
0	SECONDARY DATA	0.0066	0.0036	0.0371	0.6216	-1.0000
0	RESEARCHER SURVEY	0.0329	0.0179	0.1324	1.3999	-1.0000
0	THEORY VERIFYING	0.0263	0.0250	0.0971	0.1039	-1.0000
0	THEORY DEVELOPMENT	0.0066	0.0036	0.0371	0.6216	-1.0000
0	COMPETITIVE ADVANTAGE	0.0066	0.0036	0.0371	0.6216	-1.0000
0	PROCESS	0.0132	0.0071	0.0650	0.8806	-1.0000
0	REVIEW	0.0066	0.0036	0.0371	0.6216	-1.0000
0	COMPETITIVE CAPABILITIES	0.0066	0.0071	0.0325	-0.0826	-1.0000
0	TRUNCATED DEMAND	0.0066	0.0036	0.0371	0.6216	-1.0000
0	EMPIRICAL RESEARCH	0.1053	0.0750	0.2727	1.4166	-1.0000
0	SUPPLIER PERFORMANCE	0.0066	0.0036	0.0371	0.6216	-1.0000
0	DYNAMISM	0.0066	0.0036	0.0371	0.6216	-1.0000
0	SECURITY	0.0132	0.0143	0.0559	-0.1172	-1.0000
0	LEAN PRODUCTION	0.0066	0.0036	0.0371	0.6216	-1.0000
0	PROCESS-BASED RISKS	0.0197	0.0107	0.0895	1.0805	-1.0000
0	AFTER SALES SUPPORT	0.0066	0.0036	0.0371	0.6216	-1.0000
0	RESOURCE-BASED VIEW	0.0197	0.0107	0.0895	1.0805	-1.0000
0	EXCHANGE PRACTICES	0.0066	0.0036	0.0371	0.6216	-1.0000
0	CHANGEOVER FLEXIBILITY	0.0066	0.0036	0.0371	0.6216	-1.0000
0	LEAN OPERATIONS	0.0066	0.0036	0.0371	0.6216	-1.0000
0	THEORY BUILDING	0.0263	0.0250	0.0971	0.1039	-1.0000
