CommunityID	SubCommunityID	Modularity	Topic	SubTopic	RefID	Volume	Page	Lable	Title	Keywords	firstAU	Journal	Year	Citation	DOI	Degree	Closeness	Betweenness
4	2	0.405584			8	14	333	Choi t Y, JOM, 1996			Choi t Y	JOM	1996	28	10.1016/S0272-6963(96)00091-5	0.026846	0.259513	0.006567
4	1	0.405584			6195	19	593	Narasimhan R, JOM, 2001			Narasimhan R	JOM	2001	17	10.1016/S0272-6963(01)00055-9	0.010067	0.226589	0.000000
4	1	0.405584			6196	20	221	O'leary-kelly SW, JOM, 2002			O'leary-kelly SW	JOM	2002	15	10.1016/S0272-6963(02)00005-0	0.006711	0.222984	0.000000
4	0	0.405584			6227	22	119	Chen IJ, JOM, 2004			Chen IJ	JOM	2004	29	10.1016/j.jom.2003.12.007	0.036913	0.241295	0.006840
4	1	0.405584			5205	20	729	Frohlich MT, JOM, 2002			Frohlich MT	JOM	2002	24	10.1016/S0272-6963(02)00037-2	0.013423	0.237830	0.113348
4	1	0.405584			3172	15	0	Metters R, JOM, 1997			Metters R	JOM	1997	14	NA	0.003356	0.220822	0.000000
4	3	0.405584			14437	24	851	Cousins PD, JOM, 2006			Cousins PD	JOM	2006	12	10.1016/j.jom.2005.08.007	0.013423	0.183462	0.001055
4	3	0.405584			6248	22	23	Johnston DA, JOM, 2004			Johnston DA	JOM	2004	19	10.1016/j.jom.2003.12.001	0.033557	0.211098	0.012773
4	4	0.405584			15548	27	294	Liu Y, JOM, 2009			Liu Y	JOM	2009	16	10.1016/j.jom.2008.09.004	0.006711	0.201301	0.000000
4	1	0.405584			6279	21	523	Vickery SK, JOM, 2003			Vickery SK	JOM	2003	30	10.1016/j.jom.2003.02.002	0.050336	0.259143	0.019569
4	1	0.405584			7335	22	459	Pagell M, JOM, 2004			Pagell M	JOM	2004	16	10.1016/j.jom.2004.05.008	0.020134	0.222711	0.000037
4	1	0.405584			15554	26	349	Sanders NR, JOM, 2008			Sanders NR	JOM	2008	9	10.1016/j.jom.2007.07.003	0.003356	0.200195	0.000000
4	3	0.405584			15571	24	85	Griffith DA, JOM, 2006			Griffith DA	JOM	2006	13	10.1016/j.jom.2005.03.003	0.003356	0.166372	0.000000
4	1	0.405584			9435	20	303	Narasimhan R, JOM, 2002			Narasimhan R	JOM	2002	22	10.1016/S0272-6963(02)00008-6	0.033557	0.240658	0.001052
4	1	0.405584			11490	24	170	Swafford PM, JOM, 2006			Swafford PM	JOM	2006	12	10.1016/j.jom.2005.05.002	0.003356	0.220822	0.000000
4	3	0.405584			15588	26	45	Paulraj A, JOM, 2008			Paulraj A	JOM	2008	20	10.1016/j.jom.2007.04.001	0.036913	0.232074	0.010552
4	3	0.405584			15598	26	368	Zhao XD, JOM, 2008			Zhao XD	JOM	2008	15	10.1016/j.jom.2007.08.002	0.016779	0.235372	0.000601
4	2	0.405584			1276	17	497	Carr AS, JOM, 1999			Carr AS	JOM	1999	47	10.1016/S0272-6963(99)00007-8	0.090604	0.269893	0.058643
4	0	0.405584			1290	15	0	Hartley j L, JOM, 1997			Hartley j L	JOM	1997	15	NA	0.003356	0.148717	0.000000
4	0	0.405584			4365	17	691	Swink M, JOM, 1999			Swink M	JOM	1999	21	10.1016/S0272-6963(99)00027-3	0.010067	0.183462	0.005243
4	3	0.405584			11560	24	189	Goffin K, JOM, 2006			Goffin K	JOM	2006	11	10.1016/j.jom.2005.05.003	0.003356	0.179133	0.000000
