CommunityID	SubCommunityID	RefID	DocID	DocLable	Title	Year	Citation	DE-Keywords	ID-Keywords	Abstract
0	3	5123	125	Fullerton RR, J OPER MANAG, 2003	An examination of the relationships between HT and financial performance	2003	70	just-in-time/kanban; empirical research methods; accounting/operations interface	JUST-IN-TIME; JIT IMPLEMENTATION; EMPIRICAL-EVIDENCE; ORGANIZATIONAL-STRUCTURE; MANUFACTURING STRATEGY; MANAGEMENT CONTROL; QUALITY STRATEGY; CONTROL-SYSTEMS; ADOPTION; PROFITABILITY	Despite abundant information explaining the expected benefits from successful just-in-time (JIT) implementation, only tenuous validation of the linkage between financial performance and JIT exists. Managers act rationally in implementing JIT if they are convinced that JIT enhances firm performance. From both a cross-sectional and longitudinal perspective, this survey study of 253 US manufacturing firms finds significant statistical relationships between measures of profitability and the degree of specific JIT practices used. The evidence provides empirical support to the premise that firms that implement and maintain JIT manufacturing systems will reap sustainable rewards as measured by improved financial performance. (C) 2003 Elsevier Science B.V. All rights reserved.
0	3	5123	127	Rosenzweig ED, J OPER MANAG, 2003	The influence of an integration strategy on competitive capabilities and business performance: An exploratory study of consumer products manufacturers	2003	154	manufacturing strategy; supply chain management; competitive capabilities; empirical research	DEMAND CHAIN MANAGEMENT; RESOURCE-BASED VIEW; JUST-IN-TIME; SUPPLY-CHAIN; OPERATIONS MANAGEMENT; PRODUCTION COMPETENCE; SCALE DEVELOPMENT; FIRM; TECHNOLOGY; KNOWLEDGE	In this paper, we expand upon recent research by Frohlich and Westbrook [J. Operations Manage. 19 (2) (2001) 185] that characterizes the influence of supply chain integration on performance. Introducing supply chain integration intensity as a proxy variable for Frohlich and Westbrook's [J. Operations Manage. 19 (2) (2001) 185] 'outward-facing supply chain strategy'. we investigate the ways that manufacturing-based competitive capabilities mediate the relationship between supply chain integration and business performance. While previous research suggests that supply chain integration is directly related to superior business performance, the mediating role of manufacturing capabilities has not been explored. Using hierarchical regression analysis, we develop and test a theory-based model using a sample of consumer products manufacturers. Contrary to Frohlich and Westbrook's [J. Operations Manage. 19 (2) (2001) 185] assertions regarding the applicability of the outward-facing strategy' to the consumer goods sector, our results provide empirical evidence that supply chain integration intensity leads directly to improved business performance, thus corroborating the conventional wisdom concerning the increasing importance of supply chain integration in the consumer products sector. In addition, this study uncovers empirical evidence for the mediating role of manufacturing-based competitive capabilities in supply chain management. These results support the growing call for a broader, more generalized view of manufacturing strategy. (C) 2003 Elsevier Science B.V All rights reserved.
0	3	5123	239	Schmenner RW, J OPER MANAG, 2006	Revisiting the theory of production competence: Extensions and cross-validations	2006	17	production competence; global operations; regression; set correlation	STRATEGY	This paper examines a widely cited work in operations management, the theory of production competence, advanced initially by Cleveland, Schroeder, and Anderson (CSA). This intuitively appealing proposition asserts that production competence leads to improved business performance. However, CSA's empirical work has been criticized by Vickery and her collaborators and by Safizadeh, Ritzman. and Mallick (SRM). Moreover, SRM's own empirical work suggested that the CSA proposition only holds for batch processes. Using data from two large studies, we avoid the problems that plagued CSXs analysis, improve on their result, and call into question the SRM finding that restricts that result to batch operations. (c) 2005 Elsevier B.V. All rights reserved.
0	3	5123	315	Gonzalez-Benito J, J OPER MANAG, 2007	A theory of purchasing's contribution to business performance	2007	43	purchasing management; purchasing strategy; purchasing strategic integration; strategic alignment; production competence	MANUFACTURING STRATEGY; PRODUCTION COMPETENCE; COMPETITIVE PRIORITIES; OPERATIONS MANAGEMENT; SUPPLIER INTEGRATION; MODERATOR VARIABLES; FIRM PERFORMANCE; IMPACT; FIT; ILLUSTRATION	Although the strategic importance of purchasing has been acknowledged in recent years, few studies analyze its contribution to business performance. The alignment of the purchasing function with business strategy is essential, but previous work links better performance with the implementation of specific purchasing practices. This article develops a different approach focused on purchasing capabilities rather than purchasing practices and proposes that purchasing's contribution to business performance depends on the degree to which purchasing capabilities fit with and support the business strategy. By adapting the Theory of Production Competence to the purchasing context, this article distinguishes two levels of fit: between purchasing strategic objectives and purchasing capabilities, defined as "purchasing efficacy," and between business strategy and purchasing strategic objectives, which is viewed as an immediate consequence of the strategic integration of purchasing. The interaction between both levels of fit influences business commercial and financial performance, and an empirical analysis of 141 industrial companies supports this proposition. (c) 2007 Elsevier B.V. All rights reserved.
0	3	5123	370	Peng DX, J OPER MANAG, 2008	Linking routines to operations capabilities: A new perspective	2008	40	Capabilities; Routines; Improvement capability; Innovation capability; Resource-based view	RESOURCE-BASED VIEW; STRATEGIC MANAGEMENT RESEARCH; TOTAL QUALITY MANAGEMENT; MANUFACTURING STRATEGY; COMPETITIVE ADVANTAGE; DYNAMIC CAPABILITIES; PRODUCT DEVELOPMENT; WORLD-CLASS; ORGANIZATIONAL CAPABILITIES; PRODUCTION COMPETENCE	A typical approach to studying capabilities in the operations management literature is to assess the intended or realized competitive operational performance and their contribution to business and organizational objectives. While it is crucial to identify the operational performance that helps create competitive advantage, it is equally important to understand the means for delivering the needed performance at the operational level. Drawing on the resource-based view (RBV), we argue that routines are a critical source of operations capabilities and subsequently investigate operations capabilities by means of their underlying routines. Because a common problem to studying capabilities is the ambiguous and confusing definitions, we conduct an extensive literature review to address the semantic confusion among various definitions of capabilities and delineate it from other related terms. We identify improvement and innovation as two critical plant level capabilities, each consisting of a bundle of interrelated yet distinct routines. We then empirically measure the two capabilities as second-order latent variables and estimate their effects on a set of operational performance measures. The results suggest that routines form internally consistent bundles which are significantly related to operational performance. This supports our notion of "capabilities as routine bundles" that are difficult to imitate and thus a source of competitive advantage. (C) 2007 Elsevier B.V. All rights reserved.
0	3	5123	421	Rosenzweig ED, J OPER MANAG, 2009	A contingent view of e-collaboration and performance in manufacturing	2009	27	E-collaboration; Operations strategy; Supply chain management; Empirical research	BUYER-SUPPLIER RELATIONSHIPS; INTERORGANIZATIONAL INFORMATION-SYSTEMS; ELECTRONIC DATA INTERCHANGE; E-BUSINESS TECHNOLOGIES; COMPETITIVE ADVANTAGE; PRODUCT COMPLEXITY; TASK ENVIRONMENTS; FIRM PERFORMANCE; CHAIN MANAGEMENT; TOP MANAGEMENT	Manufacturers are increasingly utilizing Internet-based tools to more readily conduct collaborative activities with key business customers. While the emerging conventional wisdom suggests that the greater the extent to which manufacturers engage in Internet-enabled commerce with downstream business customers the better the performance, we espouse an alternative view. Consistent with the relational view of competitive advantage and contingency theory, we develop a model and a series of hypotheses that specify how various product and market characteristics may influence the nature of the expected positive relationship between e-collaboration and performance. To test the model, we collected data from 50 manufacturers using a Web-based survey. Our partial least squares (PLS) analysis results do indeed support the notion that e-collaboration is related to better operational and business performance. However, we go on to show that the strength of the relationship between e-collaboration and operational performance diminishes as the level of environmental munificence increases. Notably, we found no such moderating effect with respect to the level of product complexity or market variability. Our findings contribute to the operations strategy literature on supply chain relationships in the e-business arena and offer managers a framework for understanding the conditions under which investments in e-collaboration may be more appropriate and therefore more beneficial. (C) 2009 Elsevier B.V. All rights reserved.
0	3	5123	453	Azadegan A, J OPER MANAG, 2010	Supplier innovativeness, organizational learning styles and manufacturer performance: An empirical assessment	2010	20	Innovation strategy; Complementary capabilities; Organizational learning; Exploration; Exploitation	PRODUCT DEVELOPMENT; KNOWLEDGE TRANSFER; OPERATIONS MANAGEMENT; ABSORPTIVE-CAPACITY; STRATEGIC ALLIANCES; TRADE-OFFS; TECHNOLOGY; DESIGN; EXPLOITATION; CAPABILITIES	Suppliers have become an increasingly important source of product and process innovation. While case studies have documented how supplier innovation can benefit a manufacturer, this relationship has not been empirically validated, nor have contingencies been explored. Using organizational learning theory we posit that the link between supplier innovativeness and manufacturer performance is moderated by the "fit" between the learning styles of the manufacturer and supplier. We empirically test our hypotheses using hierarchical linear modeling of survey responses from 148 manufacturers concerning 592 suppliers. Results indicate that supplier innovativeness has positive impacts on multiple dimensions of manufacturer performance. Results show that when the outsourced activity involves low levels of design responsibility by the supplier, it is more beneficial for the two partners to have contrasting learning styles. However, when the outsourced activity is design-intensive, it is more beneficial to have a supplier with an explorative learning style. (C) 2010 Elsevier B.V. All rights reserved.
0	3	5123	481	Kroes JR, J OPER MANAG, 2010	Outsourcing congruence with competitive priorities: Impact on supply chain and firm performance	2010	23	Outsourcing; Supply chain management; Strategic alignment; Outsourcing congruence; Supply chain performance; Business performance	COVARIANCE STRUCTURE-ANALYSIS; MANUFACTURING STRATEGIES; BUSINESS PERFORMANCE; OPERATIONS STRATEGY; EMPIRICAL-ANALYSIS; TEST STATISTICS; MANAGEMENT; CAPABILITIES; TECHNOLOGY; TAXONOMY	The growth of outsourcing has led Outsourcing strategies to become an increasingly important component of firm success (Gottfredson et al., 2005). While the purported goal of outsourcing in supply chains is to derive a competitive advantage, it is not clear whether the Outsourcing decisions of firms are always strategically aligned with their overall competitive strategy. In this paper we evaluate the degree of congruence (fit or alignment) between a firm's outsourcing drivers and its competitive priorities and assess the impact of congruence on both supply chain performance and business performance, using empirical data collected from manufacturing business units operating in the United States. We find Outsourcing congruence across all five competitive priorities to be positively and significantly related to supply chain performance. We also find the level of supply chain performance in a firm to be positively and significantly associated with the firm's business performance. (C) 2009 Elsevier B.V. All rights reserved.
0	3	5123	537	Tenhiala A, J OPER MANAG, 2011	Contingency theory of capacity planning: The link between process types and planning methods	2011	3	Complexity; Fit; Strong inference; Organization theory; Mixed-methods research	BOUNDEDLY RATIONAL CUSTOMERS; OPERATIONS-MANAGEMENT; CONTROL-SYSTEMS; MANUFACTURING STRATEGY; JOB SHOPS; PERFORMANCE; INTEGRATION; INFORMATION; DECISIONS; PRODUCT	Although the reliability of production plans is crucial for the performance of manufacturing organizations, most practitioners use considerably simpler planning methods than what is recommended in the operations management literature. This article employs the contingency theory of organizations to explain the gap between the practice and the academic models of production planning. Arguments on the contingency effects of process complexity lead to a hypothesis that expects simple capacity planning methods to be most effective in certain production processes. A strong inference research setting is used to test the contingency hypothesis against a conventional hypothesis that expects the most sophisticated planning techniques to always be most effective. Multisource data from the machinery manufacturing industry support the contingency hypothesis and reject the universalistic hypothesis. The findings are explained using the concepts of task interdependence and bounded rationality. The results have several managerial implications, and they elaborate how classic concepts in organization theory can bring practically relevant insights to operations management research. (C) 2010 Elsevier B.V. All rights reserved.
0	3	5123	551	Brusco MJ, J OPER MANAG, 2012	Emergent clustering methods for empirical OM research	2012	1	Cluster analysis; Multivariate statistics; Empirical research methods	NONNEGATIVE MATRIX FACTORIZATION; SOCIAL NETWORK ANALYSIS; GENE-EXPRESSION DATA; E-BUSINESS STRATEGY; SOM NEURAL-NETWORK; P-MEDIAN PROBLEM; K-MEANS; SUPPLY CHAIN; STRUCTURAL BALANCE; MARKET-SEGMENTATION	To date, the vast majority of cluster analysis applications in OM research have relied on traditional hierarchical (e.g.. Ward's algorithm) and nonhierarchical (e.g., K-means algorithms) methods. Although these venerable methods should continue to be employed effectively in the OM literature, we also believe there is a significant opportunity to expand the scope of clustering methods to emergent techniques. We provide an overview of some alternative clustering procedures (including advantages and disadvantages), identify software programs for implementing them, and discuss the circumstances where they might be employed gainfully in OM research. The implementation of emergent clustering methods in the OM literature should enable researchers to offer implications for practice that might not have been uncovered with traditional methods. (C) 2012 Elsevier B.V. All rights reserved.
